id_registro,id_municipio,rede_geral,poco_ou_nascente,poço_ou_nascente_fora_da_propriedade,carro-pipa,agua_da_chuva_em_cisterna,agua_da_chuva_outra_forma,rio_acude_lago_igarapé,poço_ou_nascente_na_aldeia,poco_ou_nascente_fora_da_aldeia,outro
82,82,10238.0,134.0,783.0,,1.0,44.0,10779.0,676.0,329.0,119.0
83,83,15255.0,235.0,571.0,,,5.0,8992.0,1514.0,,639.0
84,84,15847.0,470.0,679.0,,1074.0,8242.0,5724.0,7.0,,880.0
85,85,7931.0,209.0,1303.0,,29.0,70.0,5444.0,20.0,,469.0
86,86,8071.0,362.0,1780.0,,6.0,,4393.0,,,244.0
87,87,16638.0,3919.0,1141.0,108.0,1.0,19.0,7350.0,102.0,,1092.0
88,88,16583.0,1138.0,1186.0,2.0,5.0,26.0,14904.0,876.0,,165.0
89,89,2210.0,994.0,5084.0,,,2.0,2527.0,,,102.0
90,90,6685.0,2820.0,476.0,,10.0,7.0,1741.0,,,993.0
91,91,15834.0,246.0,4618.0,,128.0,196.0,3681.0,,,987.0
92,92,11250.0,7050.0,4879.0,,52.0,107.0,8859.0,,,467.0
93,93,2545.0,829.0,1921.0,,9.0,303.0,18141.0,64.0,,61.0
94,94,19604.0,3515.0,27327.0,8.0,160.0,601.0,23364.0,,,914.0
95,95,13232.0,1057.0,1995.0,23.0,,8.0,6619.0,,,221.0
96,96,13890.0,2013.0,6075.0,,,39.0,8261.0,,,318.0
97,97,3597.0,3234.0,3883.0,,5.0,25.0,5339.0,,,230.0
98,98,14284.0,70.0,139.0,,129.0,2455.0,5174.0,8.0,,488.0
99,99,4312.0,3891.0,673.0,,18.0,11.0,4743.0,,,233.0
100,100,30380.0,2654.0,1160.0,,22.0,68.0,8993.0,319.0,,425.0
101,101,8287.0,444.0,945.0,,61.0,130.0,11129.0,424.0,,775.0
102,102,25699.0,3384.0,5244.0,18.0,15.0,41.0,5619.0,,,581.0
103,103,62846.0,4485.0,3098.0,,27.0,40.0,15434.0,,,363.0
104,104,2806.0,1271.0,433.0,2.0,8.0,30.0,3448.0,,,31.0
105,105,6396.0,440.0,72.0,,2.0,11.0,1124.0,,,64.0
106,106,3279.0,63.0,13.0,,31.0,46.0,3386.0,,,430.0
107,107,4728.0,225.0,284.0,,56.0,407.0,3588.0,,,1475.0
108,108,10850.0,143.0,468.0,9.0,25.0,450.0,5663.0,54.0,6.0,261.0
109,109,9152.0,7920.0,9952.0,,26.0,35.0,9455.0,341.0,,616.0
110,110,47439.0,11139.0,8539.0,6.0,164.0,252.0,16331.0,,,983.0
111,111,7867.0,1288.0,1280.0,,5.0,116.0,12012.0,,,73.0
112,112,1364258.0,241980.0,173095.0,813.0,287.0,255.0,3539.0,,,9727.0
113,113,15862.0,11548.0,3476.0,12.0,5.0,114.0,15314.0,,6.0,458.0
114,114,8483.0,168.0,561.0,,22.0,357.0,7571.0,,,306.0
115,115,26122.0,881.0,2778.0,,,52.0,20519.0,1215.0,,425.0
116,116,8335.0,288.0,3051.0,,,,6444.0,,,104.0
117,117,12482.0,2680.0,1111.0,,12.0,55.0,13777.0,,,173.0
118,118,7802.0,1548.0,1655.0,,,11.0,3408.0,53.0,,141.0
119,119,5285.0,8448.0,1700.0,,2.0,5.0,5788.0,,,84.0
120,120,72755.0,986.0,6771.0,10.0,10.0,91.0,18800.0,240.0,,1486.0
121,121,6987.0,919.0,1599.0,,10.0,56.0,8130.0,65.0,14.0,286.0
122,122,15924.0,6783.0,2141.0,,8.0,31.0,1797.0,,11.0,222.0
123,123,12021.0,8399.0,2308.0,16.0,33.0,166.0,2235.0,,,120.0
124,124,6488.0,112.0,1276.0,,,31.0,8640.0,814.0,572.0,31.0
125,125,10647.0,1391.0,3084.0,,49.0,2057.0,7049.0,,,85.0
126,126,11229.0,3894.0,4653.0,,193.0,1301.0,15061.0,195.0,4.0,1105.0
127,127,11371.0,332.0,886.0,,514.0,9036.0,8644.0,51.0,,446.0
128,128,6566.0,152.0,42.0,,,,3760.0,,,158.0
129,129,3924.0,450.0,974.0,,12.0,4.0,2996.0,,,53.0
130,130,22715.0,13657.0,3409.0,11.0,331.0,6320.0,4142.0,252.0,,1005.0
131,131,8101.0,373.0,3842.0,,36.0,28.0,6229.0,8.0,15.0,405.0
132,132,46417.0,2085.0,6873.0,,72.0,218.0,4672.0,,,870.0
133,133,2414.0,3110.0,4592.0,,364.0,970.0,5339.0,197.0,,82.0
134,134,6901.0,129.0,430.0,,6.0,690.0,3302.0,,,267.0
135,135,12876.0,617.0,1272.0,,,19.0,1918.0,,,318.0
136,136,11121.0,228.0,490.0,1.0,16.0,13.0,4977.0,,,825.0
137,137,6688.0,2911.0,267.0,9.0,,23.0,6143.0,231.0,45.0,22.0
138,138,3294.0,1439.0,531.0,,,,3007.0,749.0,,213.0
139,139,270338.0,9008.0,1133.0,8.0,3.0,1.0,331.0,411.0,,488.0
140,140,5196.0,4685.0,501.0,2.0,,,180.0,103.0,,163.0
141,141,6643.0,6265.0,570.0,,,11.0,241.0,19.0,3.0,41.0
142,142,11840.0,3684.0,366.0,,2.0,4.0,2261.0,,,59.0
143,143,4090.0,3427.0,49.0,,6.0,,91.0,333.0,3.0,3.0
144,144,4839.0,1974.0,281.0,118.0,,3.0,1387.0,,,40.0
145,145,9915.0,3819.0,433.0,,,,456.0,,,15.0
146,146,3639.0,1970.0,807.0,,,4.0,1243.0,292.0,951.0,11.0
147,147,7139.0,580.0,436.0,,18.0,61.0,1289.0,760.0,31.0,61.0
148,148,7858.0,12306.0,1264.0,,,10.0,2455.0,47.0,,53.0
149,149,4287.0,2069.0,132.0,,,,40.0,181.0,,4.0
150,150,4672.0,1638.0,300.0,,,,20.0,,,2.0
151,151,3727.0,295.0,928.0,,10.0,,2897.0,321.0,20.0,162.0
152,152,36034.0,58492.0,12488.0,9.0,14.0,85.0,32261.0,,,707.0
153,153,5609.0,665.0,148.0,39.0,,5.0,226.0,,,33.0
154,154,15957.0,17525.0,9385.0,15.0,,98.0,9020.0,,,1042.0
155,155,8295.0,194.0,127.0,,11.0,60.0,25585.0,,,621.0
156,156,3726.0,19556.0,975.0,5.0,15.0,,288.0,,,24.0
157,157,16022.0,25178.0,6887.0,10.0,,21.0,3840.0,,,485.0
158,158,22525.0,2703.0,1032.0,,3.0,22.0,6504.0,,,610.0
159,159,18599.0,65976.0,8056.0,755.0,6.0,,3877.0,393.0,,435.0
160,160,1593.0,3270.0,5087.0,,19.0,20.0,14613.0,,,59.0
161,161,170449.0,265573.0,31775.0,27.0,20.0,51.0,294.0,,,2236.0
162,162,1562.0,15873.0,2022.0,2.0,,,564.0,365.0,,89.0
163,163,18081.0,15554.0,4949.0,5.0,9.0,5.0,697.0,,,1159.0
164,164,14372.0,7622.0,1914.0,,,11.0,2410.0,,,157.0
165,165,4724.0,5767.0,1891.0,,,1.0,3323.0,,,92.0
166,166,8642.0,664.0,317.0,,,65.0,11900.0,,,209.0
167,167,23054.0,6436.0,3165.0,7.0,,90.0,3739.0,,,224.0
168,168,1215.0,1762.0,323.0,8.0,,5.0,67.0,,,11.0
169,169,30872.0,50105.0,13438.0,34.0,4.0,13.0,3998.0,,,1119.0
170,170,1058986.0,275610.0,43637.0,62.0,491.0,100.0,1714.0,,,5029.0
171,171,8872.0,2166.0,2263.0,2069.0,3.0,9.0,728.0,,,131.0
172,172,36362.0,12206.0,2440.0,8.0,22.0,7.0,97.0,,,197.0
173,173,7655.0,5945.0,597.0,,3.0,9.0,858.0,,,146.0
174,174,8597.0,3419.0,693.0,,,,773.0,,,108.0
175,175,41763.0,41617.0,26321.0,14.0,11.0,43.0,2195.0,,,730.0
176,176,7795.0,4589.0,1295.0,10.0,10.0,12.0,1584.0,265.0,,52.0
177,177,4958.0,1850.0,184.0,,3.0,,233.0,,,48.0
178,178,12870.0,33688.0,3935.0,3.0,18.0,,1734.0,,,38.0
179,179,29173.0,8440.0,6813.0,6.0,,159.0,46226.0,,,1285.0
180,180,9437.0,9039.0,3834.0,,,2.0,2986.0,,,319.0
181,181,6044.0,9444.0,3536.0,,,54.0,957.0,,,306.0
182,182,4828.0,14053.0,6548.0,20.0,6.0,14.0,558.0,,,354.0
183,183,57492.0,15180.0,5830.0,,17.0,213.0,40617.0,,,1335.0
184,184,8035.0,17305.0,1149.0,6.0,19.0,,5.0,,,45.0
185,185,15221.0,42433.0,5199.0,,4.0,11.0,192.0,,,208.0
186,186,30448.0,14268.0,4667.0,,1.0,15.0,1793.0,,,456.0
187,187,78370.0,82280.0,9877.0,2.0,15.0,24.0,1151.0,,,531.0
188,188,2785.0,2298.0,520.0,44.0,23.0,65.0,14908.0,,,278.0
189,189,8861.0,1322.0,975.0,,,,57.0,,,110.0
190,190,19922.0,22800.0,1395.0,15.0,115.0,11.0,870.0,,,232.0
191,191,3901.0,18802.0,3617.0,5.0,,5.0,1547.0,,,137.0
192,192,3515.0,4524.0,864.0,68.0,,5.0,734.0,109.0,,117.0
193,193,7363.0,6453.0,4220.0,,8.0,8.0,113.0,,,76.0
194,194,5417.0,3264.0,1354.0,2.0,,116.0,17554.0,,,63.0
195,195,8509.0,1010.0,268.0,,,,2228.0,,,224.0
196,196,29976.0,2042.0,717.0,22.0,7.0,,599.0,,,899.0
197,197,38872.0,3487.0,2630.0,2364.0,20.0,7.0,2509.0,,,938.0
198,198,7400.0,20946.0,2091.0,4.0,11.0,12.0,404.0,,,82.0
199,199,6127.0,130.0,508.0,,,3.0,1200.0,,,177.0
200,200,308.0,11842.0,4963.0,,,,485.0,,,127.0
201,201,6219.0,14118.0,3457.0,,,,1054.0,,,94.0
202,202,2766.0,23192.0,2791.0,6.0,,,1341.0,,,215.0
203,203,9070.0,1186.0,1327.0,2.0,,79.0,17190.0,,,99.0
204,204,25809.0,4977.0,2744.0,4.0,,2.0,1833.0,,,404.0
205,205,8745.0,17898.0,5905.0,,9.0,69.0,24335.0,,,771.0
206,206,4490.0,3282.0,754.0,,,5.0,978.0,,,516.0
207,207,26628.0,11244.0,2327.0,,9.0,3.0,10752.0,,,200.0
208,208,18153.0,7552.0,3501.0,,,,1764.0,,,319.0
209,209,12368.0,69735.0,11229.0,109.0,17.0,15.0,1461.0,,,585.0
210,210,2174.0,40707.0,5179.0,7.0,68.0,5.0,1845.0,175.0,,548.0
211,211,4636.0,3132.0,1003.0,8.0,,6.0,2239.0,786.0,43.0,265.0
212,212,13412.0,33344.0,3356.0,9.0,,3.0,828.0,,,74.0
213,213,25991.0,5115.0,7052.0,12.0,,36.0,7705.0,,,293.0
214,214,5284.0,350.0,58.0,,11.0,60.0,18578.0,,,664.0
215,215,5640.0,19653.0,2192.0,,4.0,3.0,138.0,,,170.0
216,216,7304.0,317.0,142.0,,,,198.0,,,135.0
217,217,88926.0,122958.0,16419.0,67.0,29.0,48.0,1830.0,,,1547.0
218,218,17954.0,4657.0,3596.0,1.0,7.0,1.0,1664.0,,,340.0
219,219,18056.0,5594.0,2256.0,,,6.0,474.0,,,118.0
220,220,40638.0,56368.0,10249.0,,14.0,1.0,14.0,,,206.0
221,221,6642.0,13955.0,3984.0,369.0,7.0,19.0,1735.0,,,402.0
222,222,2330.0,2248.0,1580.0,6.0,,51.0,18482.0,,,46.0
223,223,14913.0,5177.0,2297.0,,,15.0,4014.0,,,206.0
224,224,22832.0,33517.0,5112.0,,1.0,13.0,7607.0,,,314.0
225,225,24909.0,19117.0,7619.0,316.0,,4.0,2804.0,,,460.0
226,226,14067.0,2755.0,631.0,,5.0,143.0,16121.0,,,411.0
227,227,913.0,15928.0,2886.0,5.0,4.0,,288.0,7.0,,33.0
228,228,651.0,12157.0,1046.0,,,,709.0,,,4.0
229,229,9673.0,2705.0,518.0,4.0,,,530.0,,,189.0
230,230,8324.0,14820.0,1165.0,,2.0,,440.0,,,118.0
231,231,4646.0,43707.0,9814.0,157.0,12.0,23.0,3044.0,,,177.0
232,232,27519.0,3011.0,4933.0,5.0,,22.0,11811.0,73.0,,1585.0
233,233,12038.0,7090.0,700.0,,,40.0,8586.0,,,133.0
234,234,30495.0,2408.0,13899.0,2254.0,6.0,24.0,12016.0,389.0,116.0,893.0
235,235,6660.0,7617.0,1465.0,,,,363.0,,,125.0
236,236,19109.0,5364.0,576.0,,,5.0,374.0,81.0,,1587.0
237,237,846.0,31026.0,5708.0,,,21.0,1629.0,,,126.0
238,238,5398.0,1246.0,291.0,,5.0,,377.0,,,92.0
239,239,54803.0,35898.0,5191.0,183.0,,,410.0,519.0,,269.0
240,240,111173.0,31996.0,4613.0,4761.0,132.0,5.0,329.0,,,398.0
241,241,1459.0,2761.0,1694.0,40.0,4.0,,29.0,,,9.0
242,242,4660.0,2419.0,366.0,,,5.0,235.0,,,141.0
243,243,752.0,10150.0,1134.0,37.0,,,483.0,,,38.0
244,244,1438.0,16367.0,3799.0,5.0,,2.0,1461.0,3.0,,345.0
245,245,12260.0,4652.0,3306.0,9.0,6.0,16.0,4511.0,,,1040.0
246,246,10814.0,19997.0,1572.0,,14.0,27.0,19137.0,,,154.0
247,247,15558.0,3607.0,1130.0,,34.0,13.0,12861.0,,,223.0
248,248,13488.0,4383.0,2045.0,280.0,,10.0,8342.0,,,558.0
249,249,7143.0,2354.0,445.0,,9.0,3.0,142.0,,,148.0
250,250,3935.0,5855.0,2550.0,2.0,,,4.0,,,28.0
251,251,16614.0,49873.0,5869.0,3.0,766.0,11.0,161.0,,,374.0
252,252,4037.0,12141.0,1037.0,98.0,7.0,,196.0,,,109.0
253,253,35845.0,3720.0,1464.0,200.0,7.0,24.0,5328.0,,,190.0
254,254,10956.0,20327.0,5974.0,451.0,4.0,6.0,1136.0,,,492.0
255,255,24112.0,9719.0,2733.0,,4.0,,112.0,,,197.0
256,256,16265.0,3175.0,487.0,,,,13.0,,,115.0
257,257,11955.0,4163.0,537.0,,,,256.0,,,185.0
258,258,6954.0,172.0,89.0,,,12.0,680.0,,,218.0
259,259,36815.0,15154.0,3490.0,3.0,1.0,1.0,384.0,,,650.0
260,260,2409.0,14004.0,1936.0,,,,435.0,456.0,,79.0
261,261,3647.0,11459.0,1165.0,1.0,107.0,10.0,388.0,,,246.0
262,262,17227.0,3307.0,1281.0,,4.0,21.0,889.0,,,221.0
263,263,3049.0,46663.0,4143.0,,35.0,16.0,958.0,,,199.0
264,264,170847.0,58410.0,40414.0,31.0,63.0,61.0,20240.0,,,3026.0
265,265,4401.0,809.0,539.0,,,,317.0,,,65.0
266,266,20970.0,4048.0,1005.0,,,1.0,298.0,,,296.0
267,267,12227.0,3194.0,889.0,,,,308.0,,,225.0
268,268,15080.0,6592.0,978.0,,8.0,,265.0,,,147.0
269,269,13030.0,6977.0,3686.0,4.0,,17.0,5381.0,,,663.0
270,270,5098.0,74527.0,5681.0,467.0,16.0,8.0,2656.0,829.0,,440.0
271,271,9183.0,4061.0,1019.0,,,26.0,535.0,,,177.0
272,272,12149.0,10220.0,2174.0,10.0,11.0,1.0,396.0,298.0,,103.0
273,273,4213.0,550.0,192.0,,,,258.0,,,47.0
274,274,12863.0,5129.0,1977.0,,,,429.0,,,116.0
275,275,4874.0,5748.0,1689.0,,,3.0,675.0,,,125.0
276,276,17605.0,20129.0,9374.0,,2.0,34.0,3932.0,,,303.0
277,277,6366.0,1799.0,2476.0,,11.0,7.0,12024.0,,,174.0
278,278,3796.0,833.0,352.0,,,,7.0,,,16.0
279,279,6806.0,3180.0,1118.0,,,7.0,1524.0,245.0,,85.0
280,280,17719.0,3144.0,927.0,113.0,2.0,97.0,135.0,,,767.0
281,281,22455.0,52841.0,2796.0,6.0,8.0,,454.0,,,81.0
282,282,8358.0,1395.0,260.0,,,1.0,165.0,,,74.0
283,283,13477.0,1008.0,433.0,,,13.0,1931.0,,,23.0
284,284,33988.0,15397.0,2502.0,138.0,11.0,8.0,2425.0,,,1677.0
285,285,6884.0,13655.0,5867.0,,6.0,,541.0,,,426.0
286,286,176.0,12715.0,3251.0,54.0,5.0,5.0,492.0,,,30.0
287,287,14200.0,16117.0,1938.0,1100.0,2.0,3.0,83.0,,,108.0
288,288,79416.0,11675.0,2706.0,1024.0,4.0,9.0,1494.0,,,321.0
289,289,17319.0,19342.0,4631.0,303.0,4.0,,1476.0,,,58.0
290,290,406.0,34949.0,7289.0,7.0,4.0,2.0,1454.0,,,164.0
291,291,20935.0,22807.0,3013.0,5.0,,5.0,302.0,,,746.0
292,292,19286.0,24964.0,10192.0,2.0,11.0,21.0,1529.0,,,518.0
293,293,2582.0,8078.0,1549.0,,,4.0,741.0,,,302.0
294,294,5907.0,29507.0,4144.0,267.0,,3.0,249.0,,,117.0
295,295,847.0,5548.0,758.0,,507.0,61.0,293.0,,,7.0
296,296,3311.0,4672.0,677.0,15.0,2.0,3.0,226.0,,,32.0
297,297,3381.0,108.0,110.0,,5.0,,959.0,,,110.0
298,298,3984.0,956.0,173.0,6.0,,,565.0,,,55.0
299,299,2412.0,397.0,11.0,,,2.0,1373.0,,,24.0
300,300,35188.0,1166.0,1340.0,236.0,,20.0,981.0,,,768.0
301,301,220431.0,155116.0,11749.0,14.0,20.0,38.0,7351.0,,,885.0
302,302,3835.0,6540.0,1131.0,,,27.0,5376.0,,,45.0
303,303,2983.0,13521.0,2918.0,,2.0,11.0,190.0,246.0,,41.0
304,304,2961.0,5530.0,1339.0,2.0,,2.0,395.0,,,42.0
305,305,3220.0,11197.0,1331.0,,19.0,19.0,881.0,,,39.0
306,306,998.0,2609.0,145.0,,,,6.0,,,13.0
307,307,70257.0,23148.0,4295.0,6.0,4.0,11.0,2675.0,,,410.0
308,308,2890.0,1245.0,110.0,6.0,,,110.0,,,2.0
309,309,4059.0,6517.0,661.0,,5.0,,1037.0,,,221.0
310,310,7860.0,272.0,90.0,4.0,,7.0,2214.0,,,1786.0
311,311,1441.0,72.0,16.0,,638.0,2.0,208.0,,,12.0
312,312,4454.0,315.0,14.0,,,,260.0,,,92.0
313,313,3373.0,2206.0,36.0,,,3.0,34.0,,,6.0
314,314,5452.0,1598.0,78.0,,7.0,,301.0,,,61.0
315,315,6270.0,1781.0,24.0,,212.0,,1.0,,,4.0
316,316,8418.0,1028.0,93.0,3.0,6.0,,249.0,,,21.0
317,317,2414.0,436.0,134.0,,,,178.0,,,4.0
318,318,3221.0,684.0,114.0,,,,183.0,,,
319,319,2672.0,1962.0,374.0,,,3.0,852.0,,,3.0
320,320,3787.0,2039.0,237.0,,,,160.0,,,7.0
321,321,5148.0,3521.0,24.0,,,,4.0,,,1.0
322,322,139507.0,6969.0,812.0,6.0,17.0,9.0,908.0,,,1537.0
323,323,3778.0,1090.0,92.0,,,,43.0,,,14.0
324,324,22418.0,5281.0,1801.0,,20.0,3.0,1066.0,,,602.0
325,325,5315.0,1245.0,95.0,,,,34.0,,,7.0
326,326,7253.0,1344.0,250.0,6.0,4.0,,1474.0,,,209.0
327,327,13503.0,1351.0,732.0,4.0,2.0,7.0,52.0,,,221.0
328,328,2544.0,563.0,40.0,,,,267.0,,,5.0
329,329,8437.0,643.0,85.0,2.0,,,27.0,,,61.0
330,330,5034.0,3387.0,979.0,,,,921.0,,,15.0
331,331,2053.0,559.0,465.0,,,,23.0,,,5.0
332,332,2632.0,911.0,248.0,,,3.0,306.0,,,5.0
333,333,4346.0,827.0,65.0,3.0,,,2.0,,,10.0
334,334,2818.0,1454.0,74.0,,,,69.0,,,10.0
335,335,2620.0,923.0,86.0,,,,114.0,,,6.0
336,336,1769.0,266.0,,1.0,,,16.0,,,4.0
337,337,3119.0,1491.0,473.0,,,,67.0,,,26.0
338,338,9122.0,495.0,45.0,,,,,,,89.0
339,339,1868.0,76.0,10.0,,,,121.0,,,61.0
340,340,4849.0,2380.0,168.0,5.0,,,680.0,,,16.0
341,341,1881.0,1428.0,39.0,,,,29.0,,,1.0
342,342,1161.0,1102.0,33.0,,,,10.0,,,7.0
343,343,3245.0,211.0,144.0,,,,4.0,,,83.0
344,344,2443.0,1915.0,162.0,,,,26.0,,,30.0
345,345,1443.0,1071.0,35.0,,,,3.0,,,12.0
346,346,1599.0,1527.0,33.0,,,,95.0,,,18.0
347,347,737.0,524.0,48.0,2.0,,,20.0,,,2.0
348,348,28401.0,1787.0,241.0,,5.0,1.0,107.0,,,80.0
349,349,5756.0,2346.0,70.0,12.0,3.0,11.0,362.0,,,7.0
350,350,4226.0,90.0,60.0,,18.0,,233.0,,,5.0
351,351,2813.0,1035.0,47.0,,,,193.0,,,90.0
352,352,2421.0,2049.0,276.0,,13.0,,207.0,,,28.0
353,353,5639.0,1460.0,48.0,,,,28.0,,,9.0
354,354,781.0,758.0,20.0,,,,,,,
355,355,3787.0,718.0,244.0,5.0,13.0,,441.0,,,30.0
356,356,16417.0,1433.0,472.0,19.0,258.0,3.0,384.0,,,53.0
357,357,4271.0,1939.0,40.0,,,,30.0,,,3.0
358,358,2860.0,3227.0,232.0,4.0,1.0,,818.0,,,8.0
359,359,2924.0,1559.0,32.0,,,,31.0,,,
360,360,6724.0,2280.0,303.0,,,,142.0,,,11.0
361,361,2585.0,1171.0,1.0,,,,32.0,,,
362,362,3200.0,2064.0,28.0,,,,2.0,,,1.0
363,363,5375.0,1976.0,843.0,,5.0,,248.0,,,24.0
364,364,10630.0,7309.0,161.0,,20.0,,231.0,4.0,,8.0
365,365,1972.0,251.0,44.0,1.0,,9.0,135.0,,,
366,366,1852.0,2750.0,165.0,5.0,,,174.0,,,3.0
367,367,7505.0,2313.0,344.0,3.0,66.0,,1603.0,,,196.0
368,368,20465.0,1592.0,638.0,38.0,,5.0,243.0,,,137.0
369,369,64227.0,11532.0,415.0,3.0,48.0,6.0,23.0,,,120.0
370,370,1163.0,425.0,41.0,,,,3.0,,,2.0
371,371,5092.0,1214.0,299.0,3.0,16.0,,454.0,,,7.0
372,372,4217.0,1152.0,258.0,,,,360.0,,,16.0
