id_registro,id_municipio,rede_geral,fossa_septica,fossa_rudimendar,vala,Rio_lago_mar,outros,nao_possui
80,80,84.0,43.0,3684.0,3332.0,736.0,2807.0,4385.0
81,81,1327.0,4782.0,15800.0,2784.0,1083.0,3136.0,3039.0
82,82,617.0,2728.0,6252.0,466.0,670.0,1324.0,11046.0
83,83,130.0,1026.0,8267.0,10585.0,119.0,6384.0,700.0
84,84,698.0,3360.0,8112.0,3449.0,1519.0,11937.0,3848.0
85,85,477.0,3655.0,4133.0,2132.0,2476.0,776.0,1826.0
86,86,67.0,4341.0,4898.0,1613.0,346.0,3197.0,394.0
87,87,1356.0,476.0,11654.0,3257.0,1108.0,8784.0,3735.0
88,88,376.0,2422.0,18128.0,6460.0,469.0,2289.0,4741.0
89,89,134.0,3454.0,2338.0,178.0,2105.0,2040.0,670.0
90,90,1360.0,78.0,5239.0,1371.0,480.0,2862.0,1342.0
91,91,3972.0,2167.0,9456.0,3100.0,630.0,2397.0,3968.0
92,92,1046.0,3658.0,20685.0,2329.0,2418.0,1680.0,848.0
93,93,59.0,1202.0,14119.0,4401.0,3231.0,487.0,374.0
94,94,25036.0,3661.0,14926.0,7297.0,16095.0,759.0,7719.0
95,95,5301.0,269.0,3850.0,3911.0,1800.0,1715.0,6309.0
96,96,474.0,3155.0,10969.0,5332.0,1258.0,2018.0,7390.0
97,97,181.0,885.0,6869.0,3493.0,633.0,2107.0,2145.0
98,98,245.0,203.0,9418.0,3800.0,530.0,1999.0,6552.0
99,99,78.0,892.0,2923.0,1494.0,62.0,7891.0,541.0
100,100,1994.0,4561.0,22695.0,6479.0,1106.0,5366.0,1820.0
101,101,202.0,57.0,3486.0,5922.0,420.0,6932.0,5176.0
102,102,801.0,5144.0,25422.0,5269.0,1178.0,1216.0,1571.0
103,103,3404.0,13618.0,48458.0,9557.0,3021.0,6500.0,1735.0
104,104,311.0,143.0,1946.0,1926.0,339.0,1117.0,2247.0
105,105,34.0,495.0,5394.0,1440.0,27.0,476.0,243.0
106,106,34.0,1041.0,2595.0,1086.0,307.0,986.0,1199.0
107,107,776.0,658.0,1838.0,2723.0,1652.0,822.0,2294.0
108,108,111.0,49.0,5099.0,5666.0,726.0,1610.0,4668.0
109,109,4855.0,1891.0,6571.0,5779.0,3187.0,8059.0,7155.0
110,110,6891.0,13176.0,40885.0,8759.0,7349.0,4812.0,2981.0
111,111,396.0,1328.0,13247.0,4927.0,1295.0,184.0,1264.0
112,112,720585.0,397444.0,491299.0,46024.0,101018.0,24867.0,12717.0
113,113,447.0,3217.0,31982.0,2697.0,243.0,4326.0,3883.0
114,114,1573.0,2415.0,2637.0,1703.0,1508.0,1444.0,6188.0
115,115,995.0,13066.0,27887.0,6131.0,549.0,2350.0,1014.0
116,116,95.0,2823.0,9258.0,4167.0,60.0,1606.0,213.0
117,117,1674.0,2257.0,15437.0,6128.0,1943.0,980.0,1871.0
118,118,110.0,2144.0,7552.0,2085.0,79.0,247.0,2401.0
119,119,2021.0,908.0,10666.0,1007.0,1186.0,1705.0,3819.0
120,120,1529.0,17912.0,54810.0,11160.0,686.0,13777.0,1275.0
121,121,904.0,3296.0,3041.0,2831.0,709.0,1435.0,5850.0
122,122,7427.0,2617.0,14379.0,167.0,162.0,990.0,1175.0
123,123,233.0,2098.0,20772.0,816.0,39.0,644.0,696.0
124,124,168.0,960.0,4075.0,1051.0,138.0,186.0,11386.0
125,125,451.0,380.0,17877.0,1955.0,913.0,1083.0,1703.0
126,126,1060.0,3071.0,10201.0,779.0,1130.0,502.0,20892.0
127,127,752.0,671.0,9409.0,2831.0,1044.0,9341.0,7232.0
128,128,81.0,100.0,5427.0,4062.0,45.0,720.0,243.0
129,129,34.0,368.0,2910.0,141.0,14.0,4785.0,161.0
130,130,3244.0,7950.0,22652.0,5173.0,1492.0,6259.0,5072.0
131,131,3118.0,146.0,3595.0,3440.0,3027.0,3284.0,2427.0
132,132,9143.0,9765.0,16363.0,8876.0,8846.0,2702.0,5512.0
133,133,35.0,1432.0,8064.0,2483.0,147.0,3203.0,1704.0
134,134,204.0,1239.0,4466.0,497.0,291.0,2246.0,2782.0
135,135,290.0,1568.0,9268.0,3788.0,61.0,1794.0,251.0
136,136,171.0,3920.0,5931.0,3389.0,309.0,2743.0,1208.0
137,137,945.0,1664.0,4268.0,1443.0,,1487.0,6532.0
138,138,22.0,878.0,2861.0,146.0,6.0,1476.0,3844.0
139,139,48099.0,104059.0,122019.0,1142.0,71.0,4429.0,1902.0
140,140,61.0,3825.0,2541.0,1377.0,7.0,2083.0,936.0
141,141,109.0,1391.0,7704.0,809.0,9.0,1941.0,1830.0
142,142,7688.0,2705.0,3140.0,239.0,1614.0,1495.0,1335.0
143,143,1002.0,175.0,5071.0,194.0,35.0,630.0,895.0
144,144,2163.0,2182.0,1977.0,249.0,4.0,237.0,1830.0
145,145,424.0,145.0,11056.0,576.0,9.0,1425.0,1003.0
146,146,13.0,1171.0,3537.0,226.0,1.0,2602.0,1367.0
147,147,270.0,1948.0,4613.0,53.0,23.0,2407.0,1061.0
148,148,139.0,2509.0,15381.0,633.0,106.0,3660.0,1565.0
149,149,427.0,1330.0,4025.0,280.0,22.0,128.0,501.0
150,150,58.0,2707.0,3464.0,67.0,10.0,133.0,193.0
151,151,7.0,378.0,2166.0,622.0,22.0,254.0,4911.0
152,152,1306.0,21825.0,54930.0,14651.0,22761.0,21338.0,3279.0
153,153,35.0,562.0,5706.0,131.0,,19.0,272.0
154,154,127.0,3174.0,16841.0,7055.0,481.0,19709.0,5655.0
155,155,43.0,1080.0,6967.0,4417.0,400.0,21532.0,454.0
156,156,1993.0,3351.0,15663.0,1340.0,30.0,1278.0,934.0
157,157,264.0,9515.0,25032.0,11027.0,78.0,5251.0,1276.0
158,158,4871.0,5162.0,12674.0,4171.0,2427.0,2049.0,2045.0
159,159,1396.0,16027.0,66468.0,3720.0,1976.0,4602.0,3908.0
160,160,129.0,1853.0,8678.0,1380.0,484.0,10663.0,1474.0
161,161,52302.0,206568.0,187572.0,11146.0,3292.0,4103.0,5442.0
162,162,7.0,323.0,12504.0,1951.0,41.0,298.0,5353.0
163,163,161.0,9850.0,12866.0,5839.0,844.0,10033.0,866.0
164,164,177.0,4438.0,12677.0,3027.0,196.0,3612.0,2359.0
165,165,111.0,1078.0,6261.0,2522.0,18.0,5296.0,512.0
166,166,129.0,499.0,1981.0,841.0,2314.0,15149.0,884.0
167,167,266.0,8382.0,19695.0,927.0,101.0,4826.0,2518.0
168,168,5.0,56.0,2246.0,426.0,,209.0,449.0
169,169,11166.0,16472.0,54743.0,5980.0,3000.0,5156.0,3066.0
170,170,510810.0,428532.0,346372.0,58926.0,14405.0,12726.0,13858.0
171,171,45.0,3313.0,10703.0,1362.0,,718.0,100.0
172,172,571.0,8348.0,36533.0,2528.0,20.0,2124.0,1215.0
173,173,206.0,1845.0,10761.0,147.0,,88.0,2166.0
174,174,48.0,1831.0,6572.0,714.0,19.0,3918.0,488.0
175,175,1339.0,14959.0,62924.0,14996.0,4184.0,11889.0,2403.0
176,176,47.0,313.0,13582.0,539.0,,410.0,721.0
177,177,48.0,514.0,4368.0,631.0,15.0,855.0,845.0
178,178,2442.0,181.0,43766.0,194.0,59.0,1716.0,3928.0
179,179,256.0,5383.0,39507.0,13045.0,5975.0,21950.0,5986.0
180,180,144.0,2314.0,12896.0,3143.0,327.0,4791.0,2002.0
181,181,147.0,7559.0,6946.0,1490.0,1037.0,2159.0,1003.0
182,182,38.0,715.0,12813.0,5570.0,10.0,5062.0,2173.0
183,183,3543.0,8640.0,51409.0,11712.0,30559.0,11430.0,3391.0
184,184,5226.0,4160.0,15680.0,387.0,23.0,453.0,635.0
185,185,117.0,40171.0,14230.0,2119.0,101.0,4628.0,1902.0
186,186,553.0,1170.0,37271.0,3573.0,149.0,6871.0,2061.0
187,187,5855.0,56205.0,91795.0,6288.0,638.0,10108.0,1361.0
188,188,102.0,242.0,5893.0,11199.0,283.0,2601.0,601.0
189,189,59.0,142.0,8285.0,1325.0,1.0,1153.0,360.0
190,190,175.0,2015.0,34489.0,2304.0,85.0,1876.0,4416.0
191,191,76.0,1638.0,11825.0,1477.0,9.0,11599.0,1390.0
192,192,57.0,97.0,6000.0,351.0,5.0,278.0,3148.0
193,193,93.0,859.0,14458.0,998.0,169.0,1424.0,240.0
194,194,287.0,94.0,8584.0,3807.0,4558.0,8412.0,2028.0
195,195,8.0,127.0,3276.0,6414.0,11.0,2219.0,184.0
196,196,166.0,7857.0,18159.0,1387.0,192.0,5708.0,793.0
197,197,584.0,2816.0,45107.0,648.0,22.0,432.0,1218.0
198,198,16.0,2378.0,20537.0,1330.0,15.0,2450.0,4224.0
199,199,20.0,107.0,3697.0,212.0,8.0,3878.0,223.0
200,200,4.0,247.0,11076.0,778.0,8.0,1661.0,3951.0
201,201,,250.0,13343.0,5525.0,94.0,3949.0,1781.0
202,202,122.0,2501.0,22306.0,918.0,144.0,2380.0,1940.0
203,203,149.0,1190.0,15579.0,7979.0,2024.0,982.0,1050.0
204,204,329.0,308.0,24544.0,1628.0,21.0,8494.0,449.0
205,205,347.0,1541.0,19937.0,14794.0,7284.0,11211.0,2618.0
206,206,26.0,2065.0,3786.0,910.0,1.0,2952.0,285.0
207,207,685.0,12093.0,16806.0,2175.0,140.0,15395.0,3869.0
208,208,63.0,882.0,17419.0,8337.0,216.0,2218.0,2154.0
209,209,1596.0,17800.0,57552.0,9704.0,1375.0,5501.0,1991.0
210,210,922.0,3521.0,27569.0,5064.0,15.0,6773.0,6844.0
211,211,6.0,215.0,4322.0,2653.0,127.0,1771.0,3024.0
212,212,1471.0,6355.0,36545.0,1761.0,448.0,1259.0,3187.0
213,213,364.0,968.0,24480.0,18540.0,138.0,881.0,833.0
214,214,45.0,1462.0,4902.0,7221.0,9130.0,1250.0,995.0
215,215,82.0,11343.0,8962.0,1032.0,26.0,5553.0,802.0
216,216,38.0,3892.0,3166.0,365.0,,473.0,162.0
217,217,13528.0,60186.0,119186.0,18909.0,1839.0,8577.0,9599.0
218,218,174.0,11517.0,12232.0,2456.0,173.0,1172.0,496.0
219,219,137.0,579.0,20569.0,2048.0,182.0,2342.0,647.0
220,220,4343.0,15906.0,81359.0,3074.0,61.0,1720.0,1027.0
221,221,44.0,5285.0,16996.0,922.0,301.0,1824.0,1741.0
222,222,47.0,765.0,5223.0,7668.0,5144.0,4409.0,1487.0
223,223,40.0,8003.0,11977.0,1696.0,223.0,2635.0,2048.0
224,224,367.0,3450.0,34824.0,7166.0,737.0,16727.0,6125.0
225,225,290.0,8821.0,29104.0,6866.0,37.0,7520.0,2591.0
226,226,173.0,651.0,7285.0,7321.0,7276.0,10879.0,548.0
227,227,116.0,775.0,7577.0,3834.0,76.0,6504.0,1182.0
228,228,78.0,295.0,9971.0,815.0,22.0,422.0,2964.0
229,229,82.0,1711.0,6700.0,486.0,9.0,4006.0,625.0
230,230,66.0,275.0,21929.0,185.0,64.0,1907.0,443.0
231,231,3930.0,5072.0,32166.0,4808.0,651.0,2759.0,12194.0
232,232,191.0,674.0,21588.0,19865.0,102.0,4435.0,2104.0
233,233,123.0,928.0,8164.0,6644.0,3155.0,8310.0,1263.0
234,234,3961.0,17503.0,30111.0,4301.0,210.0,4620.0,1794.0
235,235,54.0,2006.0,7411.0,588.0,16.0,5576.0,579.0
236,236,362.0,8326.0,12386.0,833.0,411.0,2531.0,2247.0
237,237,20.0,4462.0,19137.0,1355.0,229.0,2282.0,11871.0
238,238,13.0,12.0,4425.0,984.0,10.0,1206.0,759.0
239,239,1988.0,10091.0,78499.0,3106.0,369.0,1486.0,1734.0
240,240,22142.0,47846.0,74874.0,3558.0,655.0,1687.0,2645.0
241,241,4.0,62.0,4199.0,160.0,,577.0,994.0
242,242,29.0,2617.0,2019.0,1684.0,6.0,1233.0,238.0
243,243,,368.0,8499.0,486.0,13.0,570.0,2658.0
244,244,25.0,287.0,13768.0,5710.0,,2258.0,1372.0
245,245,2162.0,3060.0,6498.0,1415.0,3866.0,8294.0,505.0
246,246,154.0,5131.0,20623.0,5916.0,3271.0,4728.0,11892.0
247,247,505.0,3339.0,13600.0,4812.0,4478.0,4255.0,2437.0
248,248,38.0,1265.0,12864.0,6912.0,497.0,5910.0,1620.0
249,249,143.0,3900.0,2862.0,658.0,24.0,2374.0,283.0
250,250,13.0,4759.0,3850.0,1114.0,83.0,1807.0,748.0
251,251,177.0,7168.0,57665.0,2967.0,51.0,3899.0,1744.0
252,252,62.0,1615.0,13332.0,1272.0,43.0,809.0,492.0
253,253,1304.0,263.0,39953.0,755.0,40.0,541.0,3922.0
254,254,124.0,1969.0,32209.0,1331.0,28.0,2146.0,1539.0
255,255,673.0,16954.0,13136.0,1365.0,2073.0,1369.0,1307.0
256,256,49.0,963.0,14884.0,1292.0,,2005.0,862.0
257,257,183.0,1637.0,10875.0,1604.0,9.0,2205.0,583.0
258,258,188.0,846.0,2068.0,2830.0,880.0,781.0,532.0
259,259,485.0,5571.0,40027.0,3258.0,149.0,5813.0,1195.0
260,260,136.0,4145.0,7975.0,2842.0,31.0,3384.0,806.0
261,261,,2685.0,8886.0,1515.0,10.0,1255.0,2672.0
262,262,126.0,935.0,16195.0,1317.0,57.0,3753.0,567.0
263,263,160.0,8095.0,36535.0,1828.0,82.0,5077.0,3286.0
264,264,5239.0,106350.0,132800.0,27548.0,527.0,18002.0,2626.0
265,265,74.0,2572.0,641.0,433.0,4.0,2363.0,44.0
266,266,97.0,2565.0,17856.0,1694.0,10.0,3638.0,758.0
267,267,64.0,1062.0,10832.0,1389.0,14.0,2710.0,772.0
268,268,120.0,2148.0,15589.0,599.0,24.0,2256.0,2334.0
269,269,79.0,2057.0,9894.0,3508.0,90.0,9332.0,4798.0
270,270,278.0,19910.0,45386.0,5327.0,119.0,12670.0,6032.0
271,271,50.0,5736.0,6988.0,430.0,,1646.0,151.0
272,272,3985.0,1961.0,14869.0,893.0,5.0,663.0,2986.0
273,273,6.0,1191.0,2409.0,380.0,,1083.0,191.0
274,274,52.0,1899.0,12136.0,3551.0,174.0,1584.0,1118.0
275,275,52.0,1930.0,6711.0,2125.0,,897.0,1399.0
276,276,302.0,3857.0,27839.0,8495.0,95.0,8495.0,2296.0
277,277,117.0,576.0,8737.0,1762.0,3173.0,7782.0,710.0
278,278,104.0,20.0,3965.0,14.0,,828.0,73.0
279,279,42.0,803.0,8483.0,339.0,75.0,1390.0,1833.0
280,280,115.0,14683.0,5298.0,327.0,4.0,955.0,1522.0
281,281,932.0,3326.0,65676.0,4499.0,130.0,2684.0,1394.0
282,282,15.0,53.0,6597.0,2376.0,,1083.0,129.0
283,283,71.0,2019.0,13197.0,634.0,85.0,726.0,153.0
284,284,480.0,1001.0,38511.0,5608.0,109.0,7278.0,3159.0
285,285,35.0,190.0,18661.0,2480.0,444.0,5374.0,195.0
286,286,,229.0,12277.0,2718.0,149.0,476.0,879.0
287,287,118.0,10646.0,17720.0,1427.0,498.0,1216.0,1926.0
288,288,10177.0,4272.0,73214.0,1318.0,2605.0,2616.0,2447.0
289,289,406.0,3830.0,30559.0,4535.0,12.0,928.0,2863.0
290,290,51.0,1314.0,34210.0,837.0,133.0,3749.0,3981.0
291,291,340.0,3277.0,28124.0,5019.0,4796.0,4416.0,1841.0
292,292,114.0,10140.0,19925.0,13299.0,1357.0,9351.0,2337.0
293,293,89.0,3717.0,5758.0,1018.0,21.0,2193.0,460.0
294,294,149.0,5609.0,28276.0,1115.0,249.0,3329.0,1467.0
295,295,419.0,2292.0,3111.0,1326.0,76.0,354.0,443.0
296,296,41.0,1065.0,6433.0,449.0,46.0,238.0,666.0
297,297,13.0,13.0,2777.0,127.0,575.0,893.0,275.0
298,298,58.0,347.0,3844.0,1264.0,15.0,89.0,122.0
299,299,65.0,700.0,2797.0,380.0,47.0,103.0,127.0
300,300,324.0,3864.0,19215.0,1092.0,9559.0,4729.0,916.0
301,301,33272.0,72381.0,213430.0,11071.0,53887.0,7363.0,4200.0
302,302,612.0,332.0,10224.0,552.0,1839.0,2947.0,448.0
303,303,723.0,4201.0,9665.0,2143.0,849.0,1900.0,431.0
304,304,52.0,2260.0,5644.0,95.0,100.0,1430.0,690.0
305,305,34.0,4032.0,10822.0,639.0,50.0,669.0,460.0
306,306,1.0,79.0,2860.0,100.0,111.0,544.0,76.0
307,307,2886.0,12547.0,64351.0,5371.0,11738.0,2782.0,1131.0
308,308,1536.0,644.0,1912.0,91.0,22.0,35.0,123.0
309,309,31.0,1525.0,8589.0,473.0,370.0,761.0,751.0
310,310,24.0,1576.0,2020.0,645.0,6708.0,820.0,440.0
311,311,27.0,309.0,1605.0,59.0,,37.0,352.0
312,312,1147.0,580.0,2377.0,598.0,,,433.0
313,313,31.0,1141.0,4165.0,55.0,,32.0,234.0
314,314,68.0,2400.0,3878.0,55.0,6.0,20.0,1070.0
315,315,221.0,344.0,7650.0,7.0,,39.0,31.0
316,316,2111.0,903.0,4589.0,625.0,,810.0,780.0
317,317,13.0,29.0,2174.0,463.0,,25.0,462.0
318,318,17.0,83.0,3614.0,86.0,,9.0,393.0
319,319,22.0,719.0,2483.0,693.0,49.0,109.0,1791.0
320,320,4.0,1388.0,3671.0,68.0,,43.0,1056.0
321,321,20.0,190.0,8167.0,32.0,1.0,130.0,158.0
322,322,13879.0,9763.0,116886.0,1476.0,1080.0,3596.0,3085.0
323,323,96.0,1868.0,2650.0,142.0,,54.0,207.0
324,324,141.0,426.0,21294.0,1560.0,,4228.0,3542.0
325,325,49.0,794.0,5325.0,90.0,,199.0,239.0
326,326,66.0,2634.0,5541.0,21.0,1.0,204.0,2073.0
327,327,1329.0,178.0,11802.0,754.0,,575.0,1234.0
328,328,24.0,61.0,2901.0,,,10.0,423.0
329,329,2131.0,579.0,5497.0,57.0,,84.0,907.0
330,330,25.0,2162.0,4628.0,479.0,13.0,465.0,2564.0
331,331,13.0,62.0,2550.0,71.0,3.0,67.0,339.0
332,332,538.0,3.0,2566.0,21.0,5.0,8.0,964.0
333,333,104.0,1156.0,3784.0,4.0,,90.0,115.0
334,334,78.0,534.0,3242.0,46.0,,378.0,147.0
335,335,3.0,1070.0,1723.0,257.0,,184.0,512.0
336,336,119.0,,1829.0,39.0,,3.0,66.0
337,337,8.0,520.0,4256.0,142.0,,61.0,189.0
338,338,19.0,2007.0,5372.0,1032.0,3.0,1066.0,252.0
339,339,337.0,18.0,1444.0,81.0,,26.0,230.0
340,340,129.0,615.0,3805.0,87.0,3.0,1730.0,1729.0
341,341,,846.0,2214.0,7.0,,45.0,266.0
342,342,17.0,1148.0,916.0,6.0,,196.0,30.0
343,343,478.0,779.0,1772.0,385.0,,81.0,192.0
344,344,120.0,148.0,3697.0,114.0,1.0,302.0,194.0
345,345,,656.0,849.0,,,25.0,1034.0
346,346,16.0,1555.0,548.0,14.0,,27.0,1112.0
347,347,1.0,36.0,1076.0,45.0,,22.0,153.0
348,348,5840.0,3545.0,19864.0,303.0,36.0,646.0,388.0
349,349,118.0,3707.0,3885.0,99.0,36.0,412.0,310.0
350,350,8.0,537.0,3943.0,14.0,,3.0,127.0
351,351,65.0,312.0,2650.0,16.0,,37.0,1098.0
352,352,23.0,1486.0,2343.0,186.0,5.0,178.0,773.0
353,353,33.0,406.0,6344.0,61.0,,68.0,272.0
354,354,9.0,477.0,879.0,5.0,4.0,6.0,179.0
355,355,1175.0,1212.0,1496.0,229.0,,38.0,1088.0
356,356,120.0,2714.0,14206.0,19.0,17.0,121.0,1842.0
357,357,10.0,402.0,5153.0,32.0,,119.0,567.0
358,358,3.0,1227.0,3528.0,139.0,,7.0,2246.0
359,359,30.0,666.0,3538.0,8.0,,20.0,284.0
360,360,1273.0,440.0,5402.0,151.0,,1824.0,370.0
361,361,3.0,2018.0,1539.0,13.0,,15.0,201.0
362,362,20.0,3059.0,2061.0,89.0,,8.0,58.0
363,363,60.0,613.0,5422.0,485.0,,930.0,961.0
364,364,500.0,2820.0,12063.0,186.0,13.0,631.0,2150.0
365,365,29.0,30.0,2267.0,33.0,,13.0,40.0
366,366,4.0,482.0,2979.0,165.0,4.0,426.0,889.0
367,367,93.0,878.0,5193.0,443.0,7.0,999.0,4417.0
368,368,1918.0,3307.0,16547.0,367.0,76.0,204.0,699.0
369,369,12264.0,19796.0,43020.0,227.0,6.0,262.0,799.0
370,370,35.0,1308.0,115.0,3.0,,,173.0
371,371,1200.0,1357.0,2247.0,41.0,,263.0,1977.0
372,372,1018.0,592.0,2651.0,793.0,,75.0,874.0
373,373,,5.0,2174.0,38.0,,,1280.0
374,374,,63.0,2018.0,75.0,,66.0,211.0
375,375,12.0,19.0,2780.0,11.0,1.0,29.0,645.0
376,376,1.0,381.0,1391.0,41.0,,58.0,354.0
377,377,26.0,525.0,7713.0,6.0,4.0,84.0,1744.0
378,378,2.0,1068.0,1527.0,116.0,,50.0,758.0
379,379,158.0,1002.0,1289.0,47.0,6.0,44.0,215.0
380,380,48.0,356.0,917.0,,4.0,2.0,267.0
381,381,24.0,1982.0,226.0,8.0,,131.0,1345.0
382,382,7.0,,2234.0,2.0,,58.0,316.0
383,383,5.0,526.0,3019.0,11.0,,412.0,370.0
384,384,43.0,185.0,1333.0,23.0,,3.0,609.0
385,385,,496.0,1391.0,298.0,,31.0,938.0
386,386,132.0,2697.0,16418.0,147.0,,769.0,443.0
387,387,240.0,31.0,11374.0,450.0,,115.0,392.0
388,388,74.0,1220.0,3777.0,4.0,13.0,235.0,1365.0
389,389,2.0,306.0,1365.0,85.0,3.0,24.0,297.0
390,390,6.0,500.0,1687.0,244.0,,201.0,411.0
391,391,13.0,3204.0,4283.0,60.0,,133.0,1235.0
392,392,45.0,31.0,3737.0,11.0,4.0,416.0,128.0
393,393,45.0,728.0,7935.0,99.0,,491.0,1328.0
394,394,57.0,1.0,3573.0,7.0,,40.0,88.0
395,395,101.0,1169.0,2031.0,,,32.0,419.0
396,396,,435.0,1700.0,11.0,,13.0,127.0
397,397,4.0,696.0,1520.0,,,5.0,214.0
398,398,12.0,85.0,896.0,3.0,,11.0,30.0
399,399,90831.0,61488.0,71058.0,246.0,21.0,339.0,1677.0
400,400,9.0,317.0,2529.0,134.0,,88.0,1838.0
401,401,32.0,20.0,4347.0,41.0,,455.0,821.0
