id_municipio,municipio,UF
185,150220 Capanema,PA
186,150230 Capitão Poço,PA
187,150240 Castanhal,PA
188,150250 Chaves,PA
189,150260 Colares,PA
190,150270 Conceição do Araguaia,PA
191,150275 Concórdia do Pará,PA
192,150276 Cumaru do Norte,PA
193,150277 Curionópolis,PA
194,150280 Curralinho,PA
195,150285 Curuá,PA
196,150290 Curuçá,PA
197,150293 Dom Eliseu,PA
198,150295 Eldorado do Carajás,PA
199,150300 Faro,PA
200,150304 Floresta do Araguaia,PA
201,150307 Garrafão do Norte,PA
202,150309 Goianésia do Pará,PA
203,150310 Gurupá,PA
204,150320 Igarapé-Açu,PA
205,150330 Igarapé-Miri,PA
206,150340 Inhangapi,PA
207,150345 Ipixuna do Pará,PA
208,150350 Irituia,PA
209,150360 Itaituba,PA
210,150370 Itupiranga,PA
211,150375 Jacareacanga,PA
212,150380 Jacundá,PA
213,150390 Juruti,PA
214,150400 Limoeiro do Ajuru,PA
215,150405 Mãe do Rio,PA
216,150410 Magalhães Barata,PA
217,150420 Marabá,PA
218,150430 Maracanã,PA
219,150440 Marapanim,PA
220,150442 Marituba,PA
221,150445 Medicilândia,PA
222,150450 Melgaço,PA
223,150460 Mocajuba,PA
224,150470 Moju,PA
225,150475 Mojuí dos Campos,PA
226,150480 Monte Alegre,PA
227,150490 Muaná,PA
228,150495 Nova Esperança do Piriá,PA
229,150497 Nova Ipixuna,PA
230,150500 Nova Timboteua,PA
231,150503 Novo Progresso,PA
232,150506 Novo Repartimento,PA
233,150510 Óbidos,PA
234,150520 Oeiras do Pará,PA
235,150530 Oriximiná,PA
236,150540 Ourém,PA
237,150543 Ourilândia do Norte,PA
238,150548 Pacajá,PA
239,150549 Palestina do Pará,PA
240,150550 Paragominas,PA
241,150553 Parauapebas,PA
242,150555 Pau D'Arco,PA
243,150560 Peixe-Boi,PA
244,150563 Piçarra,PA
245,150565 Placas,PA
246,150570 Ponta de Pedras,PA
247,150580 Portel,PA
248,150590 Porto de Moz,PA
249,150600 Prainha,PA
250,150610 Primavera,PA
251,150611 Quatipuru,PA
252,150613 Redenção,PA
253,150616 Rio Maria,PA
254,150618 Rondon do Pará,PA
255,150619 Rurópolis,PA
256,150620 Salinópolis,PA
257,150630 Salvaterra,PA
258,150635 Santa Bárbara do Pará,PA
259,150640 Santa Cruz do Arari,PA
260,150650 Santa Izabel do Pará,PA
261,150655 Santa Luzia do Pará,PA
262,150658 Santa Maria das Barreiras,PA
263,150660 Santa Maria do Pará,PA
264,150670 Santana do Araguaia,PA
265,150680 Santarém,PA
266,150690 Santarém Novo,PA
267,150700 Santo Antônio do Tauá,PA
268,150710 São Caetano de Odivelas,PA
269,150715 São Domingos do Araguaia,PA
270,150720 São Domingos do Capim,PA
271,150730 São Félix do Xingu,PA
272,150740 São Francisco do Pará,PA
273,150745 São Geraldo do Araguaia,PA
274,150746 São João da Ponta,PA
275,150747 São João de Pirabas,PA
276,150750 São João do Araguaia,PA
277,150760 São Miguel do Guamá,PA
278,150770 São Sebastião da Boa Vista,PA
279,150775 Sapucaia,PA
280,150780 Senador José Porfírio,PA
281,150790 Soure,PA
282,150795 Tailândia,PA
283,150796 Terra Alta,PA
284,150797 Terra Santa,PA
285,150800 Tomé-Açu,PA
286,150803 Tracuateua,PA
287,150805 Trairão,PA
288,150808 Tucumã,PA
289,150810 Tucuruí,PA
290,150812 Ulianópolis,PA
291,150815 Uruará,PA
292,150820 Vigia,PA
293,150830 Viseu,PA
294,150835 Vitória do Xingu,PA
295,150840 Xinguara,PA
296,160010 Amapá,AP
297,160020 Calçoene,AP
298,160021 Cutias,AP
299,160023 Ferreira Gomes,AP
300,160025 Itaubal,AP
301,160027 Laranjal do Jari,AP
302,160030 Macapá,AP
303,160040 Mazagão,AP
304,160050 Oiapoque,AP
305,160015 Pedra Branca do Amapari,AP
306,160053 Porto Grande,AP
307,160055 Pracuúba,AP
308,160060 Santana,AP
309,160005 Serra do Navio,AP
310,160070 Tartarugalzinho,AP
311,160080 Vitória do Jari,AP
312,170025 Abreulândia,TO
313,170030 Aguiarnópolis,TO
314,170035 Aliança do Tocantins,TO
315,170040 Almas,TO
316,170070 Alvorada,TO
317,170100 Ananás,TO
318,170105 Angico,TO
319,170110 Aparecida do Rio Negro,TO
320,170130 Aragominas,TO
321,170190 Araguacema,TO
322,170200 Araguaçu,TO
323,170210 Araguaína,TO
324,170215 Araguanã,TO
325,170220 Araguatins,TO
326,170230 Arapoema,TO
327,170240 Arraias,TO
328,170255 Augustinópolis,TO
329,170270 Aurora do Tocantins,TO
330,170290 Axixá do Tocantins,TO
331,170300 Babaçulândia,TO
332,170305 Bandeirantes do Tocantins,TO
333,170307 Barra do Ouro,TO
334,170310 Barrolândia,TO
335,170320 Bernardo Sayão,TO
336,170330 Bom Jesus do Tocantins,TO
337,170360 Brasilândia do Tocantins,TO
338,170370 Brejinho de Nazaré,TO
339,170380 Buriti do Tocantins,TO
340,170382 Cachoeirinha,TO
341,170384 Campos Lindos,TO
342,170386 Cariri do Tocantins,TO
343,170388 Carmolândia,TO
344,170389 Carrasco Bonito,TO
345,170390 Caseara,TO
346,170410 Centenário,TO
347,170510 Chapada da Natividade,TO
348,170460 Chapada de Areia,TO
349,170550 Colinas do Tocantins,TO
350,171670 Colméia,TO
351,170555 Combinado,TO
352,170560 Conceição do Tocantins,TO
353,170600 Couto Magalhães,TO
354,170610 Cristalândia,TO
355,170625 Crixás do Tocantins,TO
356,170650 Darcinópolis,TO
357,170700 Dianópolis,TO
358,170710 Divinópolis do Tocantins,TO
359,170720 Dois Irmãos do Tocantins,TO
360,170730 Dueré,TO
361,170740 Esperantina,TO
362,170755 Fátima,TO
363,170765 Figueirópolis,TO
364,170770 Filadélfia,TO
365,170820 Formoso do Araguaia,TO
366,170825 Fortaleza do Tabocão,TO
367,170830 Goianorte,TO
368,170900 Goiatins,TO
369,170930 Guaraí,TO
370,170950 Gurupi,TO
371,170980 Ipueiras,TO
372,171050 Itacajá,TO
373,171070 Itaguatins,TO
374,171090 Itapiratins,TO
375,171110 Itaporã do Tocantins,TO
376,171150 Jaú do Tocantins,TO
377,171180 Juarina,TO
378,171190 Lagoa da Confusão,TO
379,171195 Lagoa do Tocantins,TO
380,171200 Lajeado,TO
381,171215 Lavandeira,TO
382,171240 Lizarda,TO
383,171245 Luzinópolis,TO
384,171250 Marianópolis do Tocantins,TO
385,171270 Mateiros,TO
386,171280 Maurilândia do Tocantins,TO
387,171320 Miracema do Tocantins,TO
388,171330 Miranorte,TO
389,171360 Monte do Carmo,TO
390,171370 Monte Santo do Tocantins,TO
391,171395 Muricilândia,TO
392,171420 Natividade,TO
393,171430 Nazaré,TO
394,171488 Nova Olinda,TO
395,171500 Nova Rosalândia,TO
396,171510 Novo Acordo,TO
397,171515 Novo Alegre,TO
398,171525 Novo Jardim,TO
399,171550 Oliveira de Fátima,TO
400,172100 Palmas,TO
401,171570 Palmeirante,TO
402,171380 Palmeiras do Tocantins,TO
403,171575 Palmeirópolis,TO
404,171610 Paraíso do Tocantins,TO
405,171620 Paranã,TO
406,171630 Pau D'Arco,TO
407,171650 Pedro Afonso,TO
408,171660 Peixe,TO
409,171665 Pequizeiro,TO
410,171700 Pindorama do Tocantins,TO
411,171720 Piraquê,TO
412,171750 Pium,TO
413,171780 Ponte Alta do Bom Jesus,TO
414,171790 Ponte Alta do Tocantins,TO
415,171800 Porto Alegre do Tocantins,TO
416,171820 Porto Nacional,TO
417,171830 Praia Norte,TO
418,171840 Presidente Kennedy,TO
419,171845 Pugmil,TO
420,171850 Recursolândia,TO
421,171855 Riachinho,TO
422,171865 Rio da Conceição,TO
423,171870 Rio dos Bois,TO
424,171875 Rio Sono,TO
425,171880 Sampaio,TO
426,171884 Sandolândia,TO
427,171886 Santa Fé do Araguaia,TO
428,171888 Santa Maria do Tocantins,TO
429,171889 Santa Rita do Tocantins,TO
430,171890 Santa Rosa do Tocantins,TO
431,171900 Santa Tereza do Tocantins,TO
432,172000 Santa Terezinha do Tocantins,TO
433,172010 São Bento do Tocantins,TO
434,172015 São Félix do Tocantins,TO
435,172020 São Miguel do Tocantins,TO
436,172025 São Salvador do Tocantins,TO
437,172030 São Sebastião do Tocantins,TO
438,172049 São Valério,TO
439,172065 Silvanópolis,TO
440,172080 Sítio Novo do Tocantins,TO
441,172085 Sucupira,TO
442,172090 Taguatinga,TO
443,172093 Taipas do Tocantins,TO
444,172097 Talismã,TO
445,172110 Tocantínia,TO
446,172120 Tocantinópolis,TO
447,172125 Tupirama,TO
448,172130 Tupiratins,TO
449,172208 Wanderlândia,TO
450,172210 Xambioá,TO
451,210005 Açailândia,MA
452,210010 Afonso Cunha,MA
453,210015 Água Doce do Maranhão,MA
454,210020 Alcântara,MA
455,210030 Aldeias Altas,MA
456,210040 Altamira do Maranhão,MA
457,210043 Alto Alegre do Maranhão,MA
458,210047 Alto Alegre do Pindaré,MA
459,210050 Alto Parnaíba,MA
460,210055 Amapá do Maranhão,MA
461,210060 Amarante do Maranhão,MA
462,210070 Anajatuba,MA
463,210080 Anapurus,MA
464,210083 Apicum-Açu,MA
465,210087 Araguanã,MA
466,210090 Araioses,MA
467,210095 Arame,MA
468,210100 Arari,MA
469,210110 Axixá,MA
470,210120 Bacabal,MA
471,210125 Bacabeira,MA
472,210130 Bacuri,MA
473,210135 Bacurituba,MA
474,210140 Balsas,MA
475,210150 Barão de Grajaú,MA
476,210160 Barra do Corda,MA
477,210170 Barreirinhas,MA
478,210177 Bela Vista do Maranhão,MA
479,210173 Belágua,MA
480,210180 Benedito Leite,MA
481,210190 Bequimão,MA
482,210193 Bernardo do Mearim,MA
483,210197 Boa Vista do Gurupi,MA
484,210200 Bom Jardim,MA
485,210203 Bom Jesus das Selvas,MA
486,210207 Bom Lugar,MA
487,210210 Brejo,MA
488,210215 Brejo de Areia,MA
489,210220 Buriti,MA
490,210230 Buriti Bravo,MA
491,210232 Buriticupu,MA
492,210235 Buritirana,MA
493,210237 Cachoeira Grande,MA
494,210240 Cajapió,MA
495,210250 Cajari,MA
496,210255 Campestre do Maranhão,MA
497,210260 Cândido Mendes,MA
498,210270 Cantanhede,MA
499,210275 Capinzal do Norte,MA
500,210280 Carolina,MA
501,210290 Carutapera,MA
502,210300 Caxias,MA
503,210310 Cedral,MA
504,210312 Central do Maranhão,MA
505,210315 Centro do Guilherme,MA
506,210317 Centro Novo do Maranhão,MA
507,210320 Chapadinha,MA
508,210325 Cidelândia,MA
509,210330 Codó,MA
510,210340 Coelho Neto,MA
511,210350 Colinas,MA
512,210355 Conceição do Lago-Açu,MA
513,210360 Coroatá,MA
514,210370 Cururupu,MA
515,210375 Davinópolis,MA
516,210380 Dom Pedro,MA
517,210390 Duque Bacelar,MA
518,210400 Esperantinópolis,MA
519,210405 Estreito,MA
520,210407 Feira Nova do Maranhão,MA
521,210408 Fernando Falcão,MA
522,210409 Formosa da Serra Negra,MA
523,210410 Fortaleza dos Nogueiras,MA
524,210420 Fortuna,MA
525,210430 Godofredo Viana,MA
526,210440 Gonçalves Dias,MA
527,210450 Governador Archer,MA
528,210455 Governador Edison Lobão,MA
529,210460 Governador Eugênio Barros,MA
530,210462 Governador Luiz Rocha,MA
531,210465 Governador Newton Bello,MA
532,210467 Governador Nunes Freire,MA
533,210470 Graça Aranha,MA
534,210480 Grajaú,MA
535,210490 Guimarães,MA
536,210500 Humberto de Campos,MA
537,210510 Icatu,MA
538,210515 Igarapé do Meio,MA
539,210520 Igarapé Grande,MA
540,210530 Imperatriz,MA
541,210535 Itaipava do Grajaú,MA
542,210540 Itapecuru Mirim,MA
543,210542 Itinga do Maranhão,MA
544,210545 Jatobá,MA
545,210547 Jenipapo dos Vieiras,MA
546,210550 João Lisboa,MA
547,210560 Joselândia,MA
548,210565 Junco do Maranhão,MA
549,210570 Lago da Pedra,MA
550,210580 Lago do Junco,MA
551,210594 Lago dos Rodrigues,MA
552,210590 Lago Verde,MA
553,210592 Lagoa do Mato,MA
554,210596 Lagoa Grande do Maranhão,MA
555,210598 Lajeado Novo,MA
556,210600 Lima Campos,MA
557,210610 Loreto,MA
558,210620 Luís Domingues,MA
559,210630 Magalhães de Almeida,MA
560,210632 Maracaçumé,MA
561,210635 Marajá do Sena,MA
562,210637 Maranhãozinho,MA
563,210640 Mata Roma,MA
564,210650 Matinha,MA
565,210660 Matões,MA
566,210663 Matões do Norte,MA
567,210667 Milagres do Maranhão,MA
568,210670 Mirador,MA
569,210675 Miranda do Norte,MA
570,210680 Mirinzal,MA
571,210690 Monção,MA
572,210700 Montes Altos,MA
573,210710 Morros,MA
574,210720 Nina Rodrigues,MA
575,210725 Nova Colinas,MA
576,210730 Nova Iorque,MA
577,210735 Nova Olinda do Maranhão,MA
578,210740 Olho d'Água das Cunhãs,MA
579,210745 Olinda Nova do Maranhão,MA
580,210750 Paço do Lumiar,MA
581,210760 Palmeirândia,MA
582,210770 Paraibano,MA
583,210780 Parnarama,MA
584,210790 Passagem Franca,MA
585,210800 Pastos Bons,MA
586,210805 Paulino Neves,MA
587,210810 Paulo Ramos,MA
588,210820 Pedreiras,MA
589,210825 Pedro do Rosário,MA
590,210830 Penalva,MA
591,210840 Peri Mirim,MA
592,210845 Peritoró,MA
593,210850 Pindaré-Mirim,MA
594,210860 Pinheiro,MA
595,210870 Pio XII,MA
596,210880 Pirapemas,MA
597,210890 Poção de Pedras,MA
598,210900 Porto Franco,MA
599,210905 Porto Rico do Maranhão,MA
600,210910 Presidente Dutra,MA
601,210920 Presidente Juscelino,MA
602,210923 Presidente Médici,MA
603,210927 Presidente Sarney,MA
604,210930 Presidente Vargas,MA
605,210940 Primeira Cruz,MA
606,210945 Raposa,MA
607,210950 Riachão,MA
608,210955 Ribamar Fiquene,MA
609,210960 Rosário,MA
610,210970 Sambaíba,MA
611,210975 Santa Filomena do Maranhão,MA
612,210980 Santa Helena,MA
613,210990 Santa Inês,MA
614,211000 Santa Luzia,MA
615,211003 Santa Luzia do Paruá,MA
616,211010 Santa Quitéria do Maranhão,MA
617,211020 Santa Rita,MA
618,211023 Santana do Maranhão,MA
619,211027 Santo Amaro do Maranhão,MA
620,211030 Santo Antônio dos Lopes,MA
621,211040 São Benedito do Rio Preto,MA
622,211050 São Bento,MA
623,211060 São Bernardo,MA
624,211065 São Domingos do Azeitão,MA
625,211070 São Domingos do Maranhão,MA
626,211080 São Félix de Balsas,MA
627,211085 São Francisco do Brejão,MA
628,211090 São Francisco do Maranhão,MA
629,211100 São João Batista,MA
630,211102 São João do Carú,MA
631,211105 São João do Paraíso,MA
632,211107 São João do Soter,MA
633,211110 São João dos Patos,MA
634,211120 São José de Ribamar,MA
635,211125 São José dos Basílios,MA
636,211130 São Luís,MA
637,211140 São Luís Gonzaga do Maranhão,MA
638,211150 São Mateus do Maranhão,MA
639,211153 São Pedro da Água Branca,MA
640,211157 São Pedro dos Crentes,MA
641,211160 São Raimundo das Mangabeiras,MA
642,211163 São Raimundo do Doca Bezerra,MA
643,211167 São Roberto,MA
644,211170 São Vicente Ferrer,MA
645,211172 Satubinha,MA
646,211174 Senador Alexandre Costa,MA
647,211176 Senador La Rocque,MA
648,211178 Serrano do Maranhão,MA
649,211180 Sítio Novo,MA
650,211190 Sucupira do Norte,MA
651,211195 Sucupira do Riachão,MA
652,211200 Tasso Fragoso,MA
653,211210 Timbiras,MA
654,211220 Timon,MA
655,211223 Trizidela do Vale,MA
656,211227 Tufilândia,MA
657,211230 Tuntum,MA
658,211240 Turiaçu,MA
659,211245 Turilândia,MA
660,211250 Tutóia,MA
661,211260 Urbano Santos,MA
662,211270 Vargem Grande,MA
663,211280 Viana,MA
664,211285 Vila Nova dos Martírios,MA
665,211290 Vitória do Mearim,MA
666,211300 Vitorino Freire,MA
667,211400 Zé Doca,MA
668,220005 Acauã,PI
669,220010 Agricolândia,PI
670,220020 Água Branca,PI
671,220025 Alagoinha do Piauí,PI
672,220027 Alegrete do Piauí,PI
673,220030 Alto Longá,PI
674,220040 Altos,PI
675,220045 Alvorada do Gurguéia,PI
676,220050 Amarante,PI
677,220060 Angical do Piauí,PI
678,220070 Anísio de Abreu,PI
679,220080 Antônio Almeida,PI
680,220090 Aroazes,PI
681,220095 Aroeiras do Itaim,PI
682,220100 Arraial,PI
683,220105 Assunção do Piauí,PI
684,220110 Avelino Lopes,PI
685,220115 Baixa Grande do Ribeiro,PI
686,220117 Barra D'Alcântara,PI
687,220120 Barras,PI
688,220130 Barreiras do Piauí,PI
689,220140 Barro Duro,PI
690,220150 Batalha,PI
691,220155 Bela Vista do Piauí,PI
692,220157 Belém do Piauí,PI
693,220160 Beneditinos,PI
694,220170 Bertolínia,PI
695,220173 Betânia do Piauí,PI
696,220177 Boa Hora,PI
697,220180 Bocaina,PI
698,220190 Bom Jesus,PI
699,220191 Bom Princípio do Piauí,PI
700,220192 Bonfim do Piauí,PI
701,220194 Boqueirão do Piauí,PI
702,220196 Brasileira,PI
703,220198 Brejo do Piauí,PI
704,220200 Buriti dos Lopes,PI
705,220202 Buriti dos Montes,PI
706,220205 Cabeceiras do Piauí,PI
707,220207 Cajazeiras do Piauí,PI
708,220208 Cajueiro da Praia,PI
709,220209 Caldeirão Grande do Piauí,PI
710,220210 Campinas do Piauí,PI
711,220211 Campo Alegre do Fidalgo,PI
712,220213 Campo Grande do Piauí,PI
713,220217 Campo Largo do Piauí,PI
714,220220 Campo Maior,PI
715,220225 Canavieira,PI
716,220230 Canto do Buriti,PI
717,220240 Capitão de Campos,PI
718,220245 Capitão Gervásio Oliveira,PI
719,220250 Caracol,PI
720,220253 Caraúbas do Piauí,PI
721,220255 Caridade do Piauí,PI
722,220260 Castelo do Piauí,PI
723,220265 Caxingó,PI
724,220270 Cocal,PI
725,220271 Cocal de Telha,PI
726,220272 Cocal dos Alves,PI
727,220273 Coivaras,PI
728,220275 Colônia do Gurguéia,PI
729,220277 Colônia do Piauí,PI
730,220280 Conceição do Canindé,PI
731,220285 Coronel José Dias,PI
732,220290 Corrente,PI
733,220300 Cristalândia do Piauí,PI
734,220310 Cristino Castro,PI
735,220320 Curimatá,PI
736,220323 Currais,PI
737,220327 Curral Novo do Piauí,PI
738,220325 Curralinhos,PI
739,220330 Demerval Lobão,PI
740,220335 Dirceu Arcoverde,PI
741,220340 Dom Expedito Lopes,PI
742,220345 Dom Inocêncio,PI
743,220342 Domingos Mourão,PI
744,220350 Elesbão Veloso,PI
745,220360 Eliseu Martins,PI
746,220370 Esperantina,PI
747,220375 Fartura do Piauí,PI
748,220380 Flores do Piauí,PI
749,220385 Floresta do Piauí,PI
750,220390 Floriano,PI
751,220400 Francinópolis,PI
752,220410 Francisco Ayres,PI
753,220415 Francisco Macedo,PI
754,220420 Francisco Santos,PI
755,220430 Fronteiras,PI
756,220435 Geminiano,PI
757,220440 Gilbués,PI
758,220450 Guadalupe,PI
759,220455 Guaribas,PI
760,220460 Hugo Napoleão,PI
761,220465 Ilha Grande,PI
762,220470 Inhuma,PI
763,220480 Ipiranga do Piauí,PI
764,220490 Isaías Coelho,PI
765,220500 Itainópolis,PI
766,220510 Itaueira,PI
767,220515 Jacobina do Piauí,PI
768,220520 Jaicós,PI
769,220525 Jardim do Mulato,PI
770,220527 Jatobá do Piauí,PI
771,220530 Jerumenha,PI
772,220535 João Costa,PI
773,220540 Joaquim Pires,PI
774,220545 Joca Marques,PI
775,220550 José de Freitas,PI
776,220551 Juazeiro do Piauí,PI
777,220552 Júlio Borges,PI
778,220553 Jurema,PI
779,220555 Lagoa Alegre,PI
780,220557 Lagoa de São Francisco,PI
781,220556 Lagoa do Barro do Piauí,PI
782,220558 Lagoa do Piauí,PI
783,220559 Lagoa do Sítio,PI
784,220554 Lagoinha do Piauí,PI
785,220560 Landri Sales,PI
786,220570 Luís Correia,PI
787,220580 Luzilândia,PI
788,220585 Madeiro,PI
789,220590 Manoel Emídio,PI
790,220595 Marcolândia,PI
791,220600 Marcos Parente,PI
792,220605 Massapê do Piauí,PI
793,220610 Matias Olímpio,PI
794,220620 Miguel Alves,PI
795,220630 Miguel Leão,PI
796,220635 Milton Brandão,PI
797,220640 Monsenhor Gil,PI
798,220650 Monsenhor Hipólito,PI
799,220660 Monte Alegre do Piauí,PI
800,220665 Morro Cabeça no Tempo,PI
801,220667 Morro do Chapéu do Piauí,PI
802,220669 Murici dos Portelas,PI
803,220670 Nazaré do Piauí,PI
804,220672 Nazária,PI
805,220675 Nossa Senhora de Nazaré,PI
806,220680 Nossa Senhora dos Remédios,PI
807,220795 Nova Santa Rita,PI
808,220690 Novo Oriente do Piauí,PI
809,220695 Novo Santo Antônio,PI
810,220700 Oeiras,PI
811,220710 Olho D'Água do Piauí,PI
812,220720 Padre Marcos,PI
813,220730 Paes Landim,PI
814,220735 Pajeú do Piauí,PI
815,220740 Palmeira do Piauí,PI
816,220750 Palmeirais,PI
817,220755 Paquetá,PI
818,220760 Parnaguá,PI
819,220770 Parnaíba,PI
820,220775 Passagem Franca do Piauí,PI
821,220777 Patos do Piauí,PI
822,220779 Pau D'Arco do Piauí,PI
823,220780 Paulistana,PI
824,220785 Pavussu,PI
825,220790 Pedro II,PI
826,220793 Pedro Laurentino,PI
827,220800 Picos,PI
828,220810 Pimenteiras,PI
829,220820 Pio IX,PI
830,220830 Piracuruca,PI
831,220840 Piripiri,PI
832,220850 Porto,PI
833,220855 Porto Alegre do Piauí,PI
834,220860 Prata do Piauí,PI
835,220865 Queimada Nova,PI
836,220870 Redenção do Gurguéia,PI
837,220880 Regeneração,PI
838,220885 Riacho Frio,PI
839,220887 Ribeira do Piauí,PI
840,220890 Ribeiro Gonçalves,PI
841,220900 Rio Grande do Piauí,PI
842,220910 Santa Cruz do Piauí,PI
843,220915 Santa Cruz dos Milagres,PI
844,220920 Santa Filomena,PI
845,220930 Santa Luz,PI
846,220937 Santa Rosa do Piauí,PI
847,220935 Santana do Piauí,PI
848,220940 Santo Antônio de Lisboa,PI
849,220945 Santo Antônio dos Milagres,PI
