id_registro,id_municipio,casos
313,488,3
314,489,1
315,495,50
316,499,23
317,501,303
318,503,1
319,504,1
320,506,35
321,507,10
322,508,6
323,510,4
324,512,13
325,513,13
326,515,6
327,518,67
328,519,22
329,521,8
330,522,33
331,523,10
332,524,1
333,527,12
334,529,14
335,532,3
336,533,5
337,537,1
338,539,174
339,540,1
340,541,7
341,542,34
342,544,38
343,548,5
344,551,2
345,552,1
346,553,1
347,556,2
348,564,2
349,571,3
350,574,2
351,575,1
352,579,28
353,581,1
354,583,13
355,584,1
356,586,1
357,587,3
358,591,5
359,592,3
360,594,2
361,596,1
362,597,6
363,599,4
364,605,3
365,606,29
366,608,4
367,609,12
368,612,24
369,616,1
370,622,1
371,626,30
372,630,5
373,632,4
374,633,171
375,634,4
376,635,919
377,636,2
378,637,1
379,639,2
380,640,79
381,642,1
382,649,1
383,651,16
384,653,20
385,656,5
386,657,3
387,658,1
388,659,1
389,661,8
390,662,1
391,663,15
392,664,1
393,673,12
394,675,2
395,676,1
396,681,1
397,684,11
398,685,1
399,689,2
400,692,1
401,695,1
402,697,14
403,701,1
404,703,1
405,704,12
406,713,2
407,715,1
408,716,1
409,723,1
410,724,1
411,727,1
412,731,13
413,733,2
414,738,16
415,740,1
416,743,6
417,749,17
418,751,1
419,754,7
420,767,2
421,772,1
422,777,8
423,779,6
424,781,1
425,785,2
426,790,3
427,793,1
428,796,5
429,802,1
430,805,1
431,807,2
432,809,87
433,813,1
434,816,1
435,817,10
436,818,40
437,824,151
438,826,163
439,828,2
440,829,72
441,830,53
442,836,1
443,839,1
444,843,1
445,853,1
446,854,2
447,857,2
448,859,2
449,860,2
450,862,10
451,864,8
452,866,8
453,871,3
454,872,72
455,876,1
456,882,2718
457,884,4
458,886,9
459,891,11
460,892,1
461,894,164
462,896,1
463,897,12
464,898,306
465,900,1
466,902,2
467,903,61
468,904,14
469,905,24
470,907,1
471,908,2
472,911,2
473,912,11
474,913,13
475,914,1
476,915,19
477,917,6
478,918,61
479,920,4
480,921,710
481,922,1
482,923,4
483,924,4
484,925,2
485,927,2
486,928,7
487,930,2
488,931,16
489,932,60
490,934,410
491,935,11
492,938,2
493,939,8
494,940,181
495,941,125
496,942,1
497,946,2
498,947,7
499,948,1
500,949,4321
501,950,5
502,953,3
503,954,2
504,955,11
505,956,4
506,957,33
507,958,2
508,959,3
509,961,5
510,962,4
511,964,4
512,965,37
513,966,365
514,967,73
515,968,9
516,970,19
517,971,1
518,972,3
519,973,223
520,974,1
521,976,23
522,978,18
523,979,16
524,980,1
525,982,58
526,983,280
527,984,1
528,985,3
529,986,4
530,987,1
531,989,65
532,991,64
533,992,5
534,993,33
535,994,29
536,995,92
537,996,2
538,998,2
539,999,413
540,1001,716
541,1002,22
542,1003,1
543,1004,6
544,1005,40
545,1006,1
546,1007,11
547,1010,4
548,1011,2
549,1012,4
550,1013,9
551,1014,1
552,1015,3
553,1017,6
554,1018,13
555,1019,1
556,1020,1
557,1021,4
558,1022,3
559,1023,3
560,1024,1
561,1025,20
562,1026,4
563,1027,3
564,1028,12
565,1029,4
566,1030,8
567,1032,12
568,1035,33
569,1036,1
570,1037,17
571,1038,1
572,1039,3
573,1040,1
574,1041,898
575,1042,9
576,1043,3
577,1044,1
578,1045,72
579,1046,4
580,1048,2
581,1051,2
582,1052,8
583,1053,12
584,1054,3
585,1055,10
586,1056,3
587,1057,37
588,1058,10
589,1059,478
590,1060,1
591,1061,6
592,1062,70
593,1063,7
594,1064,3
595,1065,2
596,1066,7
597,1067,1
598,1068,1
599,1069,3
600,1071,3
601,1072,2
602,1073,185
603,1074,2
604,1075,57
605,1076,28
606,1077,5
607,1078,2
608,1079,1
609,1082,2
610,1085,1
611,1086,1
612,1088,2
613,1089,3
614,1091,10
615,1092,1
616,1094,3
617,1096,11
618,1097,3
619,1098,6
620,1101,1
621,1103,2
622,1107,2
623,1108,4
624,1112,1
625,1113,1
626,1120,2
627,1123,14
628,1124,1
629,1133,1
630,1134,1
631,1136,1
632,1137,5
633,1139,36
634,1140,1
635,1148,1
636,1149,1
637,1151,2
638,1152,1
639,1154,2
640,1156,1
641,1158,1
642,1161,1106
643,1162,66
644,1163,2
645,1164,1
646,1171,15
647,1173,1
648,1176,1
649,1177,1
650,1180,2
651,1182,1
652,1185,4
653,1193,1
654,1194,1
655,1196,2
656,1197,2
657,1198,11
658,1200,2
659,1202,1
660,1203,1
661,1205,9
662,1208,1
663,1210,4
664,1213,9
665,1217,1
666,1219,1
667,1221,6
668,1226,1
669,1228,1
670,1230,1
671,1231,1
672,1237,1
673,1244,7
674,1249,37
675,1251,1
676,1254,3
677,1255,3
678,1264,4
679,1266,3
680,1268,35
681,1271,1
682,1272,2
683,1274,1
684,1275,4
685,1279,5
686,1280,5
687,1281,2
688,1282,3
689,1287,1
690,1290,1
691,1291,83
692,1293,2
693,1296,1
694,1297,13
695,1299,1
696,1301,8
697,1305,10
698,1307,1
699,1308,1
700,1318,7
701,1319,1
702,1322,15
703,1329,2
704,1335,435
705,1338,1
706,1341,1
707,1344,6
708,1345,6
709,1348,3
710,1350,1
711,1351,2
712,1352,2
713,1355,2
714,1364,6
715,1372,1
716,1379,4
717,1383,1
718,1389,1
719,1394,2
720,1396,11
721,1407,3
722,1411,4
723,1412,127
724,1421,5
725,1423,2
726,1426,1
727,1428,2
728,1436,1
729,1437,1
730,1440,1
731,1450,1
732,1451,19
733,1458,8
734,1459,14
735,1462,4
736,1463,1
737,1465,2
738,1466,22
739,1469,2
740,1470,2
741,1473,63
742,1474,1
743,1475,42
744,1477,1
745,1479,1
746,1483,140
747,1485,9
748,1487,4
749,1489,11
750,1491,1
751,1492,1
752,1494,2
753,1495,1
754,1497,8
755,1498,116
756,1500,1
757,1502,1
758,1504,1
759,1505,1
760,1509,3
761,1510,12
762,1514,10
763,1515,1
764,1518,8
765,1519,3
766,1520,2
767,1523,3
768,1524,15
769,1525,1
770,1528,1
771,1529,1
772,1531,27
773,1533,59
774,1535,80
775,1536,2
776,1537,3
777,1538,1
778,1540,1
779,1541,1
780,1543,3
781,1547,17
782,1550,1
783,1552,5
784,1553,30
785,1554,122
786,1555,1
787,1556,4
788,1557,1
789,1562,1
790,1563,1
791,1564,1
792,1566,113
793,1567,2
794,1569,11
795,1570,1
796,1573,1
797,1574,2
798,1576,279
799,1577,14
800,1580,7
801,1582,13
802,1583,3
803,1587,2
804,1588,1
805,1589,86
806,1591,7
807,1594,1
808,1597,314
809,1600,4
810,1603,2
811,1604,11
812,1606,1
813,1607,2
814,1608,25
815,1611,2
816,1612,21
817,1614,32
818,1615,4
819,1616,197
820,1617,8
821,1618,1
822,1619,5
823,1621,7
824,1623,2
825,1625,2
826,1626,9
827,1628,42
828,1629,2
829,1630,30
830,1631,2
831,1636,6
832,1637,1
833,1641,8
834,1646,6
835,1647,1
836,1648,2
837,1649,7
838,1652,9
839,1653,2
840,1654,1
841,1655,2
842,1662,1
843,1663,1
844,1664,1
845,1665,2
846,1670,7
847,1674,1
848,1675,10
849,1677,1
850,1682,2
851,1683,1
852,1684,2
853,1685,3
854,1688,14
855,1691,1
856,1693,3
857,1696,400
858,1699,80
859,1700,1
860,1701,8
861,1703,2
862,1705,3
863,1708,16
864,1709,2
865,1710,1
866,1713,1
867,1714,1
868,1716,47
869,1717,6
870,1720,1
871,1723,1
872,1724,16
873,1727,1
874,1728,1
875,1729,2
876,1731,1
877,1732,57
878,1735,12
879,1736,1
880,1737,1
881,1738,5
882,1740,7
883,1741,5
884,1742,1
885,1745,3
886,1747,7
887,1748,2
888,1750,1
889,1751,1
890,1752,1
891,1754,90
892,1756,1
893,1757,3
894,1760,1
895,1761,1
896,1763,4
897,1766,4
898,1768,1
899,1770,1
900,1771,1
901,1773,2
902,1776,2
903,1778,1
904,1781,2
905,1783,3
906,1784,1
907,1785,1
908,1787,2
909,1788,2
910,1792,2
911,1793,1
912,1795,2
913,1797,2
914,1798,83
915,1799,2
916,1802,1
917,1807,61
918,1812,1
919,1816,2
920,1817,45
921,1819,2
922,1820,1
923,1821,1
924,1822,3
925,1823,2
926,1830,7
927,1833,1
928,1836,1
929,1838,4
930,1841,1
931,1843,2
932,1848,1
933,1853,1
934,1857,3
935,1859,1
936,1864,2
937,1865,1
938,1866,18
939,1867,1
940,1868,42
941,1870,1
942,1871,1
943,1873,14
944,1878,23
945,1881,1
946,1883,24
947,1884,34
948,1885,4
949,1889,1
950,1891,7
951,1895,4
952,1896,15
953,1897,3
954,1899,10
955,1900,1
956,1902,4
957,1903,1
958,1906,2
959,1907,1
960,1910,1
961,1912,6
962,1918,1
963,1919,1
964,1924,1
965,1932,1
966,1937,14
967,1941,2
968,1942,2
969,1944,1
970,1945,4
971,1954,430
972,1957,31
973,1960,2
974,1965,2
975,1966,7
976,1969,1
977,1970,9
978,1973,1
979,1974,1
980,1977,1
981,1978,1
982,1980,1
983,1981,462
984,1982,27
985,1987,2
986,1990,22
987,1992,14
988,1993,1
989,1995,1
990,1999,1
991,2000,32
992,2001,29
993,2002,86
994,2003,501
995,2004,1
996,2011,2
997,2012,12
998,2013,1
999,2014,1
1000,2016,1
1001,2017,1
1002,2020,1
1003,2024,1
1004,2027,9
1005,2029,4
1006,2030,1
1007,2032,3
1008,2034,41
1009,2035,2
1010,2039,38
1011,2044,20
1012,2047,4
1013,2052,8
1014,2054,4
1015,2057,11
1016,2061,6
1017,2064,3
1018,2068,4
1019,2069,1
1020,2071,1
1021,2081,4
1022,2085,1
1023,2088,2
1024,2090,1
1025,2091,105
1026,2093,7
1027,2096,1
1028,2107,21
1029,2108,1
1030,2111,1
1031,2119,14
1032,2120,2
1033,2125,1
1034,2134,1
1035,2135,5
1036,2137,12
1037,2139,1
1038,2140,4
1039,2142,1
1040,2147,27
1041,2148,1
1042,2151,2
1043,2153,28
1044,2162,69
1045,2165,2
1046,2169,69
1047,2170,6
1048,2176,2
1049,2177,1
1050,2178,2
1051,2179,1
1052,2182,6
1053,2193,1
1054,2194,1
1055,2196,2
1056,2201,17
1057,2202,1
1058,2203,5
1059,2210,1
1060,2211,14
1061,2214,38
1062,2225,14
1063,2227,6
1064,2229,58
1065,2235,1
1066,2239,14
1067,2241,267
1068,2242,1
1069,2244,2
1070,2247,1
1071,2248,8
1072,2249,1
1073,2250,3
1074,2251,1
1075,2252,5
1076,2253,27
1077,2254,33
1078,2258,2
1079,2259,34
1080,2261,1
1081,2262,1
1082,2264,10
1083,2269,6
1084,2272,2
1085,2276,1
1086,2280,114
1087,2281,9
1088,2284,10
1089,2287,26
1090,2288,1
1091,2290,1
1092,2293,15
1093,2295,8
1094,2297,2
1095,2299,3
1096,2300,5
1097,2303,1
1098,2304,9
1099,2309,447
1100,2310,26
1101,2315,514
1102,2319,7
1103,2321,91
1104,2324,1
1105,2326,6
1106,2332,1
1107,2335,1
1108,2337,531
1109,2338,3
1110,2340,17
1111,2342,1
1112,2343,5
1113,2344,3
1114,2345,32
1115,2348,1
1116,2350,2
1117,2351,2
1118,2352,4
1119,2354,1
1120,2358,1
1121,2359,1
1122,2360,2
1123,2361,3
1124,2362,2
1125,2364,6
1126,2365,1
1127,2366,6
1128,2369,2
1129,2373,52
1130,2375,1
1131,2378,1
1132,2380,1
1133,2381,34
1134,2383,1
1135,2384,2
1136,2386,4
1137,2388,1
1138,2389,4
1139,2390,14
1140,2393,2
1141,2396,4
1142,2399,2
1143,2401,5
1144,2409,19
1145,2412,1
1146,2413,17
1147,2414,6
1148,2416,12
1149,2419,2
1150,2421,3
1151,2426,4
1152,2429,4
1153,2431,3
1154,2433,14
1155,2439,1
1156,2441,5
1157,2443,9
1158,2445,8
1159,2446,5
1160,2447,113
1161,2449,363
1162,2450,1
1163,2453,1
1164,2454,39
1165,2455,2
1166,2456,1
1167,2457,727
1168,2458,4
1169,2465,30
1170,2467,1
1171,2471,1
1172,2472,1
1173,2473,3
1174,2474,9
1175,2476,72
1176,2484,17
1177,2489,84
1178,2491,76
1179,2500,1
1180,2503,6
1181,2505,1
1182,2506,3
1183,2508,84
1184,2509,4
1185,2512,1
1186,2514,2
1187,2520,18
1188,2522,1
1189,2525,2
1190,2528,3
1191,2529,4
1192,2530,1
1193,2532,2
1194,2534,1
1195,2535,1
1196,2538,1
1197,2540,22
1198,2541,4
1199,2542,2
1200,2543,2
1201,2545,2
1202,2546,5
1203,2548,1
1204,2550,4
1205,2552,1
1206,2554,1
1207,2557,2
1208,2558,2003
1209,2560,2
1210,2561,3
1211,2565,1
1212,2569,1
1213,2570,3
1214,2571,10
1215,2572,1
1216,2573,49
1217,2575,9
1218,2577,5
1219,2578,1
1220,2579,137
1221,2580,5
1222,2581,41
1223,2584,2
1224,2585,4
1225,2586,12
1226,2590,1
1227,2591,1
1228,2592,1
1229,2595,116
1230,2596,1
1231,2597,2
1232,2598,61
1233,2599,2
1234,2600,1309
1235,2601,6
1236,2603,1
1237,2604,30
1238,2605,13
1239,2606,8
1240,2608,4
1241,2611,5
1242,2614,30
1243,2619,6
1244,2621,107
1245,2622,14
1246,2624,1
1247,2625,5
1248,2626,1
1249,2628,18
1250,2630,181
1251,2632,26
1252,2634,3
1253,2636,1
1254,2637,1
1255,2638,5
1256,2639,1
1257,2640,7
1258,2641,199
1259,2642,17
1260,2644,48
1261,2645,1
1262,2647,2
1263,2648,6
1264,2650,10
1265,2652,35
1266,2653,4
1267,2654,9
1268,2655,7
1269,2657,3
1270,2661,5
1271,2662,74
1272,2666,6
1273,2668,6
1274,2669,1
1275,2671,6
1276,2672,4
1277,2673,5
1278,2674,6
1279,2675,3
1280,2678,2
1281,2679,13
1282,2681,12
1283,2682,12
1284,2684,1
1285,2685,7
1286,2687,1
1287,2688,29
1288,2689,7
1289,2690,1
1290,2691,1
1291,2692,1
1292,2694,1
1293,2695,2
1294,2696,8
1295,2697,5
1296,2699,1
1297,2701,1
1298,2703,3
1299,2704,1
1300,2705,9
1301,2707,1
1302,2709,4
1303,2713,9
1304,2715,1
1305,2716,1
1306,2717,1
1307,2718,2
1308,2719,1
1309,2720,1
1310,2722,285
1311,2724,1
1312,2725,7
1313,2726,1
1314,2728,1
1315,2729,2
1316,2730,3
1317,2732,1
1318,2734,6
1319,2735,72
1320,2736,29
1321,2737,84
1322,2738,1
1323,2739,3
1324,2740,90
1325,2744,81
1326,2746,12
1327,2750,81
1328,2751,41
1329,2754,52
1330,2755,2
1331,2758,1
1332,2759,7
1333,2763,102
1334,2766,3
1335,2768,13
1336,2770,10
1337,2771,1
1338,2783,3
1339,2784,6
1340,2786,23
1341,2787,4
1342,2788,1
1343,2789,5
1344,2791,1
1345,2793,4
1346,2794,80
1347,2795,123
1348,2797,2
1349,2798,38
1350,2799,1
1351,2803,6
1352,2805,443
1353,2806,42
1354,2807,1
1355,2812,70
1356,2817,1
1357,2820,2
1358,2823,1
1359,2824,24
1360,2825,2
1361,2827,3
1362,2830,5
1363,2834,1
1364,2835,13
1365,2836,2
1366,2838,19
1367,2839,3
1368,2843,15
1369,2844,3
1370,2846,1
1371,2847,7
1372,2849,2
1373,2851,5
1374,2854,4
1375,2855,455
1376,2857,2
1377,2858,6
1378,2860,1
1379,2861,73
1380,2862,1
1381,2864,2
1382,2865,1
1383,2869,2
1384,2872,1
1385,2876,40
1386,2878,1
1387,2880,60
1388,2882,2
1389,2883,3
1390,2885,1
1391,2888,1
1392,2889,6
1393,2892,17
1394,2899,2
1395,2901,1
1396,2902,6
1397,2904,11
1398,2906,12
1399,2908,3
1400,2915,2
1401,2917,4
1402,2918,3
1403,2919,2
1404,2921,1
1405,2922,1
1406,2924,1
1407,2927,8
1408,2928,3
1409,2929,4
1410,2930,24
1411,2933,2
1412,2937,1
1413,2938,71
1414,2939,1
1415,2945,24
1416,2949,5
1417,2950,2
1418,2951,12
1419,2956,197
1420,2959,1
1421,2962,1
1422,2964,16
1423,2965,1
1424,2967,11
1425,2968,7
1426,2970,4
1427,2972,3
1428,2974,28
1429,2976,1
1430,2977,5
1431,2981,10
1432,2982,5
1433,2983,1
1434,2985,4
1435,2988,3
1436,2994,1
1437,2996,1
1438,2997,1
1439,3003,2
1440,3004,18
1441,3013,6
1442,3017,2
1443,3027,1
1444,3028,8
1445,3029,2
1446,3033,25
1447,3034,64
1448,3035,1
1449,3039,1
1450,3040,1
1451,3041,5
1452,3042,1
1453,3049,26
1454,3050,219
1455,3051,2
1456,3052,2
1457,3053,18
1458,3057,931
1459,3058,5
1460,3059,172
1461,3060,27
1462,3061,45
1463,3062,364
1464,3064,97
1465,3067,97
1466,3068,838
1467,3070,12
1468,3072,7
1469,3075,4
1470,3078,341
1471,3079,2
1472,3080,7
1473,3081,520
1474,3082,5
1475,3083,2
1476,3087,4
1477,3088,5
1478,3090,1
1479,3092,1
1480,3094,13
1481,3097,7
1482,3098,1
1483,3100,2
1484,3103,2
1485,3105,7
1486,3106,1
1487,3107,22
1488,3108,39
1489,3109,18
1490,3111,1
1491,3112,499
1492,3113,446
1493,3114,1
1494,3115,13
1495,3116,29
1496,3117,1
1497,3119,4
1498,3121,1
1499,3122,5
1500,3125,9
1501,3129,4
1502,3132,33
1503,3135,5
1504,3136,2
1505,3137,10
1506,3138,7
1507,3139,6
1508,3140,1
1509,3141,17
1510,3142,3
1511,3144,2
1512,3145,7
1513,3147,11
1514,3148,4
1515,3149,467
1516,3150,2
1517,3151,3
1518,3152,1
1519,3153,4
1520,3155,3
1521,3156,3
1522,3157,1
1523,3158,8
1524,3159,3
1525,3160,6
1526,3161,1
1527,3162,110
1528,3163,1
1529,3164,8
1530,3165,1
1531,3166,684
1532,3167,17
1533,3168,8
1534,3169,1
1535,3170,25
1536,3171,19
1537,3172,4
1538,3173,1563
1539,3174,886
1540,3175,4
1541,3177,8
1542,3178,28
1543,3180,13
1544,3181,18
1545,3182,3
1546,3183,38
1547,3184,1
1548,3185,28
1549,3186,4
1550,3187,1
1551,3189,25
1552,3190,1
1553,3194,45
1554,3197,4
1555,3199,336
1556,3201,14
1557,3202,1
1558,3204,1
1559,3205,4
1560,3206,2
1561,3207,34
1562,3209,1
1563,3211,46
1564,3213,6
1565,3214,2
1566,3215,161
1567,3217,2
1568,3221,3
1569,3222,7
1570,3223,2
1571,3225,1
1572,3227,3
1573,3229,3
1574,3230,3
1575,3231,2
1576,3232,5
1577,3233,3
1578,3235,3
1579,3236,1
1580,3237,16
1581,3238,6
1582,3239,1
1583,3240,4
1584,3241,8
1585,3242,1699
1586,3244,8
1587,3245,1
1588,3246,1
1589,3247,2
1590,3248,1
1591,3249,5
1592,3254,7
1593,3255,1
1594,3256,4
1595,3260,2
1596,3261,2
1597,3263,1
1598,3266,18
1599,3267,8
1600,3269,6
1601,3270,1
1602,3273,1
1603,3274,2
1604,3277,2
1605,3278,1
1606,3279,1
1607,3283,2
1608,3285,17
1609,3286,9
1610,3287,2
1611,3288,9
1612,3290,22
1613,3291,2
1614,3294,9
1615,3298,82
1616,3299,2
1617,3303,110
1618,3304,26
1619,3306,1
1620,3308,1
1621,3309,1
1622,3310,1
1623,3311,9
1624,3313,20
1625,3314,23
1626,3315,3
1627,3317,3
1628,3318,2
1629,3319,5
1630,3321,4
1631,3324,3
1632,3325,7
1633,3329,15
1634,3330,1
1635,3331,1
1636,3332,5
1637,3333,5
1638,3334,77
1639,3335,8
1640,3338,10
1641,3339,3
1642,3340,83
1643,3341,2
1644,3345,2
1645,3349,2
1646,3350,1
1647,3352,6
1648,3353,4
1649,3354,1
1650,3357,4
1651,3359,8
1652,3361,1
1653,3362,2
1654,3363,16
1655,3364,8
1656,3368,1
1657,3369,2
1658,3370,2
1659,3371,1
1660,3372,2
1661,3373,5
1662,3375,128
1663,3379,1
1664,3381,11
1665,3383,1
1666,3386,8
1667,3387,9
1668,3388,2
1669,3389,3
1670,3390,3
1671,3392,23
1672,3393,26
1673,3394,2
1674,3395,2
1675,3399,1
1676,3402,4
1677,3403,2
1678,3404,3
1679,3405,1
1680,3409,1
1681,3410,2
1682,3412,20
1683,3413,1
1684,3416,12
1685,3417,3
1686,3418,3
1687,3419,31
1688,3420,10
1689,3427,7
1690,3429,2
1691,3433,2
1692,3435,4
1693,3436,1
1694,3437,1
1695,3439,4
1696,3441,2
1697,3442,8
1698,3447,23
1699,3449,2
1700,3451,5
1701,3452,1
1702,3454,136
1703,3455,8
1704,3456,1
1705,3459,2
1706,3460,2
1707,3462,3
1708,3463,1
1709,3464,2
1710,3465,1
1711,3467,21
1712,3468,7
1713,3470,3
1714,3471,3
1715,3472,1
1716,3475,8
1717,3476,2
1718,3477,7
1719,3479,1
1720,3480,52
1721,3481,349
1722,3483,1
1723,3484,2
1724,3486,139
1725,3487,1
1726,3488,2
1727,3490,1
1728,3491,9
1729,3493,37
1730,3495,3
1731,3499,1
1732,3500,4
1733,3502,5
1734,3503,8
1735,3504,84
1736,3506,1
1737,3509,1
1738,3510,1
1739,3511,2
1740,3514,6
1741,3519,7
1742,3521,13
1743,3524,4
1744,3526,4
1745,3527,9
1746,3529,18
1747,3532,1
1748,3533,2
1749,3534,1
1750,3536,6
1751,3539,1
1752,3540,4
1753,3541,7
1754,3542,2
1755,3543,6
1756,3544,1
1757,3545,5
1758,3546,25
1759,3547,2
1760,3549,4
1761,3550,22
1762,3551,1
1763,3553,8
1764,3554,2
1765,3555,2
1766,3559,14
1767,3562,7
1768,3564,1
1769,3565,1
1770,3568,1
1771,3570,8
1772,3571,1
1773,3572,25
1774,3574,17
1775,3575,11
1776,3581,1
1777,3585,3
1778,3586,1
1779,3589,1
1780,3592,1
1781,3593,1
1782,3595,52
1783,3597,1
1784,3598,4
1785,3599,6
1786,3606,1
1787,3607,16
1788,3608,7
1789,3609,215
1790,3610,4
1791,3611,13
1792,3612,4
1793,3613,10
1794,3614,39
1795,3617,5
1796,3618,1
1797,3619,10
1798,3620,7
1799,3621,5
1800,3622,2
1801,3623,4
1802,3625,4
1803,3627,1
1804,3632,2
1805,3633,6
1806,3636,3
1807,3637,1
1808,3641,6
1809,3644,4
1810,3645,6
1811,3647,9
1812,3651,16
1813,3652,1
1814,3654,2
1815,3655,6
1816,3656,11
1817,3657,1
1818,3658,1
1819,3659,10
1820,3661,1
1821,3663,2
1822,3664,2
1823,3666,2
1824,3668,14
1825,3669,2
1826,3672,6
1827,3673,1
1828,3675,2
1829,3677,2
1830,3679,4
1831,3681,13
1832,3686,11
1833,3687,1
1834,3688,2
1835,3689,42
1836,3690,5
1837,3692,2
1838,3693,1
1839,3695,2
1840,3696,40
1841,3697,3
1842,3701,1
1843,3702,62
1844,3703,1
1845,3704,3
1846,3705,1
1847,3708,1
1848,3709,3
1849,3710,54
1850,3711,5
1851,3712,2
1852,3713,20
1853,3714,1
1854,3715,1
1855,3717,7
1856,3721,1
1857,3723,4
1858,3724,7
1859,3725,1
1860,3726,1
1861,3727,2
1862,3728,6
1863,3732,6
1864,3733,15
1865,3734,5
1866,3737,2
1867,3742,3
1868,3744,7
1869,3746,7
1870,3747,2
1871,3753,2
1872,3755,1
1873,3756,196
1874,3759,1
1875,3760,18
1876,3763,8
1877,3766,2
1878,3768,3
1879,3771,6
1880,3772,7
1881,3776,11
1882,3778,1
1883,3780,3
1884,3782,6
1885,3783,1
1886,3787,20
1887,3788,1
1888,3790,5
1889,3792,2
1890,3793,1
1891,3797,8
1892,3801,3
1893,3802,3
1894,3803,17
1895,3805,12
1896,3806,1
1897,3811,49
1898,3813,11
1899,3814,3
1900,3815,21
1901,3817,6
1902,3821,34
1903,3824,12
1904,3825,389
1905,3826,415
1906,3829,1
1907,3831,429
1908,3832,2
1909,3834,1
1910,3835,5
1911,3836,9
1912,3837,5
1913,3838,9
1914,3841,1
1915,3842,2
1916,3844,1
1917,3845,7
1918,3846,1
1919,3847,1
1920,3850,63
1921,3851,5
1922,3852,50
1923,3854,11
1924,3855,7
1925,3860,16
1926,3861,1
1927,3862,8
1928,3863,9
1929,3865,5
1930,3867,12
1931,3872,3
1932,3873,47
1933,3875,9
1934,3876,1
1935,3882,2
1936,3883,1
1937,3885,5
